respondentId,party,color
0,HR,#bc8144
1,IS,#2ca02c
2,NO,#3d8e61
3,RO,#b06e48
4,RU,#61667a
5,ES,#eeb33e
6,GB,#7fa047
7,FR,#b49f44
8,RS,#c17541
9,AM,#d1322e
10,AT,#ae8648
11,HU,#ac7c49
12,FR,#b49f44
13,AM,#d1322e
14,DK,#6b8e57
15,BG,#c66a3e
16,CZ,#97854f
17,AM,#d1322e
18,HU,#ac7c49
19,IT,#ce893f
20,AT,#ae8648
21,NL,#8c974b
22,SK,#9d7d4f
23,DK,#6b8e57
24,IS,#2ca02c
25,IS,#2ca02c
26,BY,#7b7261
27,SE,#3c8a6a
28,DK,#6b8e57
29,CH,#b19246
30,FI,#2b8384
31,GE,#c43d39
32,SI,#b58346
33,NL,#8c974b
34,RO,#b06e48
35,HR,#bc8144
36,NL,#8c974b
37,GB,#7fa047
38,AL,#d87539
39,DK,#6b8e57
40,AL,#d87539
41,HR,#bc8144
42,AL,#d87539
43,IS,#2ca02c
44,LT,#6e7a64
45,DK,#6b8e57
46,CH,#b19246
47,GE,#c43d39
48,EE,#507d73
49,RO,#b06e48
50,NL,#8c974b
51,AM,#d1322e
52,DE,#918e4e
53,GB,#7fa047
54,BA,#c37c41
55,DE,#918e4e
56,BA,#c37c41
57,AL,#d87539
58,CH,#b19246
59,GE,#c43d39
60,IS,#2ca02c
61,CH,#b19246
62,IT,#ce893f
63,AM,#d1322e
64,FI,#2b8384
65,CH,#b19246
66,LT,#6e7a64
67,FR,#b49f44
68,LT,#6e7a64
69,ES,#eeb33e
70,DK,#6b8e57
71,ES,#eeb33e
72,ES,#eeb33e
73,NL,#8c974b
74,NO,#3d8e61
75,AL,#d87539
76,DK,#6b8e57
77,FR,#b49f44
78,IT,#ce893f
79,SK,#9d7d4f
80,FR,#b49f44
81,RU,#61667a
82,DE,#918e4e
83,RO,#b06e48
84,BA,#c37c41
85,DE,#918e4e
86,DK,#6b8e57
87,EE,#507d73
88,GB,#7fa047
89,AL,#d87539
90,HU,#ac7c49
91,HR,#bc8144
92,GE,#c43d39
93,DK,#6b8e57
94,HU,#ac7c49
95,FR,#b49f44
96,BA,#c37c41
97,CH,#b19246
98,GE,#c43d39
99,GE,#c43d39
100,GB,#7fa047
101,RS,#c17541
102,RU,#61667a
103,HR,#bc8144
104,CH,#b19246
105,CZ,#97854f
106,PT,#f8bf3f
107,SK,#9d7d4f
108,BA,#c37c41
