respondentId,v38,v39,v63,v102,v103,v104,v105,v106,v107,v143,v144,v185,v186,v187,v188,v199,v200,v201,v202,v203,v149,v159,v150,v152,v153,v160,v154,v155,v156,v157,v158,v163
0,0.67,0.67,0.44,0.44,1.0,0.56,0.78,0.56,0.11,0.22,0.0,0.56,0.11,0.0,0.56,0.75,1.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.44,0.0
1,0.78,0.78,0.56,0.11,0.56,0.89,0.78,0.78,0.44,0.67,0.11,0.56,0.78,0.78,0.22,0.5,0.75,0.5,0.25,0.75,0.0,0.11,0.11,0.0,0.89,0.0,0.67,0.56,0.78,0.0,0.56,0.0
2,0.78,0.78,0.0,0.44,0.56,0.89,0.78,0.56,0.89,0.67,0.44,0.22,0.78,0.67,0.33,0.0,0.0,1.0,1.0,0.75,0.11,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.22,0.44,0.89
3,1.0,0.89,0.78,0.44,1.0,1.0,1.0,0.33,0.33,0.67,0.56,1.0,1.0,1.0,0.0,0.75,1.0,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.0,0.0,0.0,0.44
4,0.78,0.78,0.22,0.56,0.33,0.78,0.44,0.44,0.22,0.56,0.56,0.67,0.78,0.78,0.56,0.5,0.5,0.5,0.5,0.25,0.0,0.44,0.0,0.0,0.0,0.0,0.56,0.67,0.56,0.11,0.11,0.11
5,1.0,0.78,0.0,0.44,0.67,0.33,1.0,1.0,0.44,0.67,0.56,0.0,0.44,0.11,0.67,1.0,1.0,0.75,0.25,0.25,0.0,1.0,0.0,0.0,0.89,0.0,0.44,0.44,0.67,0.22,0.67,0.11
6,1.0,1.0,0.78,0.67,0.11,0.11,0.11,0.11,0.56,0.78,0.67,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.0,1.0,0.78,1.0,1.0,1.0,0.0,0.0,1.0
7,0.67,0.89,0.22,0.44,0.78,0.56,0.67,0.44,0.89,0.67,0.33,0.56,0.56,0.33,0.56,0.75,0.25,0.25,0.0,0.5,0.44,0.22,0.0,0.0,1.0,0.0,0.89,1.0,0.56,0.22,0.44,0.67
8,0.78,0.78,0.78,0.33,0.44,0.67,0.78,0.67,0.0,0.78,0.67,0.78,0.33,0.89,0.67,0.5,0.25,0.75,0.75,0.5,0.11,0.0,0.11,0.0,0.22,0.0,0.22,0.78,0.11,0.0,0.11,0.0
9,0.67,0.78,0.89,0.22,0.44,0.22,0.56,0.56,0.33,0.67,0.33,0.56,0.56,0.56,0.56,0.75,0.75,0.5,0.25,0.25,0.22,0.67,0.33,0.11,0.0,1.0,0.56,0.78,0.0,0.0,0.11,0.0
10,0.78,0.78,1.0,0.33,0.56,0.44,0.89,0.33,0.78,0.89,0.67,0.33,0.33,0.33,0.89,0.5,0.75,0.25,0.25,0.0,0.0,0.11,0.0,0.0,1.0,0.22,0.0,0.44,0.11,0.22,0.22,0.0
11,0.89,0.22,0.89,0.11,0.56,0.56,0.89,1.0,0.89,0.0,0.0,0.89,1.0,1.0,0.11,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.78,0.78,0.0,0.22,0.56,0.44,0.56,0.67,0.44,0.33,0.33,0.11,0.11,0.22,0.67,0.75,0.75,0.25,0.25,0.0,0.11,0.56,0.22,0.11,1.0,0.56,1.0,0.89,0.56,0.56,0.78,0.22
13,0.89,1.0,0.89,0.11,0.89,0.11,1.0,0.0,0.78,0.78,0.0,0.56,0.44,0.67,0.56,0.25,0.5,0.75,0.5,0.5,0.78,0.78,0.78,0.56,0.56,1.0,1.0,0.44,0.67,0.44,0.67,0.11
14,0.44,0.78,0.33,0.33,0.56,0.67,0.56,0.56,0.56,0.89,0.67,0.22,0.67,0.33,0.56,0.75,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.11,0.89,0.89,0.89,0.89,0.44,0.11
15,0.56,0.56,1.0,0.33,0.89,0.89,0.89,1.0,0.56,0.56,0.56,0.89,0.89,0.89,0.67,0.5,0.75,0.25,0.25,0.25,0.0,0.11,0.0,0.0,0.0,0.33,0.67,0.89,0.0,0.0,0.33,0.0
16,0.67,0.44,1.0,0.22,0.78,0.89,0.67,0.67,0.22,0.33,0.0,0.89,0.89,0.89,0.11,0.75,0.5,0.75,0.5,0.5,0.0,0.44,0.0,0.0,0.33,0.44,0.33,0.33,0.44,0.44,0.56,0.44
17,0.44,0.56,0.44,0.44,0.44,0.33,0.0,0.56,0.33,0.67,0.56,0.44,0.44,0.44,0.56,0.75,0.5,0.5,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0
18,0.44,0.44,0.67,0.44,0.33,0.67,0.67,0.67,0.56,0.11,0.11,0.67,0.56,0.67,0.56,0.75,1.0,0.5,0.0,0.5,0.0,0.22,0.0,0.22,0.44,0.0,0.44,0.44,0.44,0.0,0.44,0.44
19,0.67,0.78,0.67,0.67,0.44,0.22,0.33,0.22,0.33,0.56,0.78,0.44,0.33,0.56,0.56,0.75,0.5,0.5,0.75,0.5,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.22,0.11,0.22,0.11,0.11
20,0.78,0.67,0.56,0.56,0.67,0.89,1.0,0.56,0.56,0.78,0.67,0.33,1.0,1.0,0.56,0.5,0.75,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.11,0.33,0.33,0.56,0.11,0.0,0.0,0.0
21,0.78,0.89,0.67,0.67,0.56,0.56,0.78,0.33,0.33,0.33,0.56,0.44,0.67,0.56,0.33,0.25,0.75,0.25,0.25,0.5,0.0,0.44,0.0,0.0,1.0,0.44,1.0,1.0,1.0,0.67,0.22,0.44
22,1.0,0.89,0.11,0.0,1.0,1.0,1.0,0.0,1.0,0.44,0.44,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44,0.44,0.44,0.44,0.0,0.44,0.78,1.0,0.44,0.44,0.67,0.67
23,0.78,1.0,0.22,0.33,0.22,0.33,0.67,0.67,0.44,0.89,0.78,0.11,0.56,0.11,0.22,1.0,0.75,0.25,0.25,0.25,0.0,0.44,0.0,0.0,1.0,0.33,1.0,1.0,0.67,0.78,0.78,0.0
24,0.89,0.67,0.89,0.33,0.33,0.0,0.78,0.33,0.56,0.78,0.78,0.22,0.56,0.56,0.11,0.75,0.75,0.25,0.25,0.5,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.44,0.0,0.0,0.0
25,1.0,0.89,0.0,0.89,0.78,0.78,0.89,0.0,0.78,0.78,0.67,0.0,0.78,0.0,0.22,0.75,0.25,0.75,1.0,0.5,0.0,0.44,0.22,0.44,1.0,0.78,0.78,0.67,0.56,0.44,1.0,0.0
26,0.67,0.89,0.78,0.11,0.33,0.0,1.0,0.11,0.89,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.25,0.0,0.0,0.67,0.0,0.0,0.0,0.11,0.0,0.0,0.44,0.0,0.0,0.0,0.0
27,0.89,0.67,0.67,0.56,0.89,0.67,0.67,0.0,0.56,1.0,0.78,0.11,0.56,0.11,0.56,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.89,1.0,0.67,0.0,1.0,0.0
28,0.89,0.0,0.56,0.67,0.44,0.0,0.56,0.11,0.56,0.67,0.11,1.0,0.56,0.89,0.0,0.75,0.75,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.44,0.67,0.0
29,0.78,0.89,0.0,0.67,0.56,0.78,0.67,0.33,0.56,0.67,0.67,0.78,0.56,0.56,0.56,0.5,0.75,0.25,0.25,0.75,0.0,0.11,0.0,0.0,0.44,0.44,0.0,0.78,0.78,0.56,0.44,0.33
30,0.78,0.78,0.56,0.56,0.89,0.89,1.0,1.0,0.0,0.22,0.33,0.0,1.0,1.0,0.0,0.75,0.75,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.44,0.89,1.0,1.0,0.89,0.11,0.89,0.0
31,1.0,0.44,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.56,0.33,1.0,1.0,1.0,1.0,0.75,0.25,0.75,0.75,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.0,0.0
32,0.78,0.78,0.56,0.67,0.33,1.0,0.33,0.78,1.0,0.33,0.33,0.78,0.78,0.89,0.56,0.5,0.5,0.75,0.25,0.75,0.0,0.0,0.0,0.0,0.67,0.56,0.11,0.56,0.67,0.33,0.11,0.89
