number,name,question
0,v38,I have complete control over my life
1,v39,I am satisfied with my life
2,v63,God is important in my life
3,v102,Do you consider yourself 'left' or 'right'?
4,v103,Everyone is responsible for him/herself
5,v104,The unemployed should take any job
6,v105,Competition is good
7,v106,Incomes should be made equal
8,v107,Private ownership should be increased
9,v143,My country is governed democratically
10,v144,I am satisfied with the government
11,v185,Immigrants take jobs away
12,v186,Immigrants make crime problems
13,v187,Immigration is a strain on welfare system
14,v188,Immigrants should maintain their traditions
15,v199,I would give money for the environment
16,v200,Someone like me can do much for environment
17,v201,There are more important things than environment
18,v202,Others should start to protect the environment
19,v203,Environmental threats are exaggerated
20,v149,Do you justify: claiming state benefits
21,v159,Do you justify: avoiding a fare on public transport
22,v150,Do you justify: cheating on tax
23,v152,Do you justify: accepting a bribe
24,v153,Do you justify: homosexuality
25,v160,Do you justify: prostitution
26,v154,Do you justify: abortion
27,v155,Do you justify: divorce
28,v156,Do you justify: euthanasia
29,v157,Do you justify: suicide
30,v158,Do you justify: having casual sex
31,v163,Do you justify: death penalty
