id,party,color
0,group-0,#1f77b4
1,group-1,#ff7f0e
2,group-1,#ff7f0e
4,group-1,#ff7f0e
5,group-1,#ff7f0e
7,group-1,#ff7f0e
9,group-1,#ff7f0e
10,group-1,#ff7f0e
11,group-1,#ff7f0e
14,group-1,#ff7f0e
17,group-1,#ff7f0e
19,group-1,#ff7f0e
20,group-1,#ff7f0e
24,group-1,#ff7f0e
26,group-1,#ff7f0e
28,group-1,#ff7f0e
29,group-1,#ff7f0e
30,ungrouped,#999999
31,ungrouped,#999999
33,group-0,#1f77b4
35,group-1,#ff7f0e
37,group-1,#ff7f0e
39,group-0,#1f77b4
40,group-1,#ff7f0e
41,group-1,#ff7f0e
45,ungrouped,#999999
46,group-1,#ff7f0e
47,group-0,#1f77b4
49,group-1,#ff7f0e
54,group-0,#1f77b4
56,group-1,#ff7f0e
59,group-1,#ff7f0e
60,group-1,#ff7f0e
64,group-0,#1f77b4
65,group-1,#ff7f0e
69,group-1,#ff7f0e
70,group-0,#1f77b4
71,group-0,#1f77b4
73,group-0,#1f77b4
74,group-0,#1f77b4
75,group-0,#1f77b4
76,group-0,#1f77b4
77,group-0,#1f77b4
81,group-0,#1f77b4
82,group-0,#1f77b4
83,group-0,#1f77b4
85,group-0,#1f77b4
86,group-0,#1f77b4
87,group-0,#1f77b4
88,group-0,#1f77b4
96,group-0,#1f77b4
97,group-0,#1f77b4
98,group-0,#1f77b4
103,group-1,#ff7f0e
106,group-1,#ff7f0e
107,group-0,#1f77b4
116,group-0,#1f77b4
122,group-0,#1f77b4
127,group-0,#1f77b4
130,group-0,#1f77b4
134,group-0,#1f77b4
135,group-0,#1f77b4
136,group-0,#1f77b4
137,group-0,#1f77b4
138,group-0,#1f77b4
143,group-0,#1f77b4
144,group-1,#ff7f0e
152,group-0,#1f77b4
158,group-0,#1f77b4
168,group-1,#ff7f0e
169,group-0,#1f77b4
172,group-1,#ff7f0e
175,group-1,#ff7f0e
176,group-1,#ff7f0e
180,group-0,#1f77b4
182,group-0,#1f77b4
184,group-1,#ff7f0e
186,group-0,#1f77b4
194,group-0,#1f77b4
195,group-1,#ff7f0e
197,group-1,#ff7f0e
198,group-1,#ff7f0e
202,group-0,#1f77b4
203,group-1,#ff7f0e
205,group-1,#ff7f0e
211,group-1,#ff7f0e
218,group-0,#1f77b4
220,group-0,#1f77b4
223,group-0,#1f77b4
227,group-0,#1f77b4
231,group-1,#ff7f0e
234,group-0,#1f77b4
235,group-1,#ff7f0e
236,group-1,#ff7f0e
240,group-1,#ff7f0e
243,group-1,#ff7f0e
244,group-1,#ff7f0e
246,group-1,#ff7f0e
251,group-1,#ff7f0e
258,group-0,#1f77b4
259,group-1,#ff7f0e
261,group-0,#1f77b4
262,group-1,#ff7f0e
263,group-1,#ff7f0e
