number,name,rapid,mean,std,question
0,answer_3387,False,0.5222698744769875,0.3619772065129789,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""."""
1,answer_3388,True,0.3631694560669456,0.3030284893479168,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society."""
2,answer_3389,True,0.2593148535564853,0.30212867887148603,"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare."""
3,answer_3391,False,0.6242154811715481,0.38465382863246056,Should the federal government provide more support for the integration of foreigners?
4,answer_3392,True,0.6464435146443515,0.4007259346145781,Should cannabis use be legalized?
5,answer_3398,True,0.13781380753138076,0.30492732036351183,"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?"
6,answer_3399,True,0.6058420502092051,0.3293343939124653,"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state."""
7,answer_3412,True,0.48522489539748953,0.42235733213705606,Do you support an increase in the retirement age (e.g. to 67)?
8,answer_3413,False,0.7599372384937239,0.3426061294725792,Should the federal government provide more financial support for the creation of childcare facilities outside the family?
9,answer_3414,True,0.6307531380753139,0.4236201878681246,An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?
10,answer_3415,False,0.5587081589958159,0.41142279017147976,Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?
11,answer_3416,True,0.28072698744769875,0.36583366404349266,Do you support cantonal efforts to reduce social welfare benefits?
12,answer_3417,True,0.5444560669456067,0.4168709500117467,Should the federal government provide more support for the construction of non-profit housing? 
13,answer_3418,True,0.3842834728033473,0.4030627241263929,Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?
14,answer_3419,False,0.6746861924686193,0.3862022498231153,Would you support the introduction of an opt-out solution of for organ donation?
15,answer_3420,True,0.5489016736401674,0.37600567644005883,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?
16,answer_3421,False,0.4818253138075314,0.43863694589720087,An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?
17,answer_3422,False,0.5852510460251046,0.40079661615807255,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?
