candidateId,party,color
9,FDP,#0000FF
16,GLP,#32CD32
25,EVP,#FFA500
30,Others,#888888
31,SP,#FF0000
33,Center,#C56C46
41,GLP,#32CD32
42,Center,#C56C46
44,SVP,#4F7942
49,GLP,#32CD32
58,EVP,#FFA500
59,GLP,#32CD32
67,Greens,#008000
68,Greens,#008000
74,SVP,#4F7942
76,Others,#888888
95,GLP,#32CD32
104,EDU,#00008B
106,SP,#FF0000
109,Others,#888888
111,GLP,#32CD32
114,GLP,#32CD32
117,Others,#888888
119,SP,#FF0000
120,SVP,#4F7942
122,EDU,#00008B
123,Greens,#008000
124,Center,#C56C46
128,Others,#888888
132,EDU,#00008B
133,SP,#FF0000
134,GLP,#32CD32
145,GLP,#32CD32
148,Greens,#008000
160,EVP,#FFA500
171,SVP,#4F7942
172,EDU,#00008B
174,EDU,#00008B
179,Center,#C56C46
182,Greens,#008000
185,Others,#888888
187,SVP,#4F7942
188,GLP,#32CD32
189,Others,#888888
195,SP,#FF0000
206,SP,#FF0000
211,EVP,#FFA500
214,SP,#FF0000
216,Others,#888888
217,SP,#FF0000
221,SP,#FF0000
238,EVP,#FFA500
252,FDP,#0000FF
253,Center,#C56C46
257,Others,#888888
264,EVP,#FFA500
271,Others,#888888
277,SVP,#4F7942
285,Others,#888888
292,SVP,#4F7942
295,SP,#FF0000
297,Greens,#008000
299,SP,#FF0000
301,Center,#C56C46
308,SVP,#4F7942
313,Greens,#008000
325,Center,#C56C46
331,GLP,#32CD32
336,Center,#C56C46
339,FDP,#0000FF
340,FDP,#0000FF
341,SVP,#4F7942
342,GLP,#32CD32
346,SP,#FF0000
357,GLP,#32CD32
368,SVP,#4F7942
374,FDP,#0000FF
386,EVP,#FFA500
388,Center,#C56C46
389,Others,#888888
391,Greens,#008000
392,Greens,#008000
395,Others,#888888
398,GLP,#32CD32
404,SP,#FF0000
406,EVP,#FFA500
409,GLP,#32CD32
411,SP,#FF0000
433,SVP,#4F7942
440,SP,#FF0000
449,Center,#C56C46
450,Others,#888888
458,SP,#FF0000
466,Others,#888888
469,SVP,#4F7942
480,Center,#C56C46
492,Others,#888888
506,Others,#888888
520,Greens,#008000
521,Center,#C56C46
525,FDP,#0000FF
535,SP,#FF0000
536,SP,#FF0000
539,Others,#888888
545,Greens,#008000
557,Others,#888888
558,SP,#FF0000
563,Greens,#008000
571,Greens,#008000
572,Others,#888888
576,Center,#C56C46
596,SVP,#4F7942
598,EVP,#FFA500
605,SP,#FF0000
614,EVP,#FFA500
616,Center,#C56C46
617,GLP,#32CD32
625,SP,#FF0000
628,Center,#C56C46
636,GLP,#32CD32
637,Center,#C56C46
639,SP,#FF0000
650,Center,#C56C46
668,SP,#FF0000
670,EDU,#00008B
672,Others,#888888
674,Greens,#008000
686,GLP,#32CD32
690,SVP,#4F7942
699,Others,#888888
701,Center,#C56C46
702,Others,#888888
707,Others,#888888
712,Center,#C56C46
715,Center,#C56C46
716,Others,#888888
731,SP,#FF0000
734,Others,#888888
741,EVP,#FFA500
749,Center,#C56C46
756,SP,#FF0000
760,SP,#FF0000
776,Others,#888888
780,FDP,#0000FF
786,Center,#C56C46
795,GLP,#32CD32
798,Others,#888888
806,Greens,#008000
810,Greens,#008000
813,Others,#888888
814,Center,#C56C46
823,Center,#C56C46
825,EDU,#00008B
834,EVP,#FFA500
835,Others,#888888
838,Others,#888888
841,Greens,#008000
846,Others,#888888
847,Center,#C56C46
848,SP,#FF0000
857,Center,#C56C46
863,GLP,#32CD32
873,GLP,#32CD32
875,GLP,#32CD32
876,Others,#888888
880,EVP,#FFA500
882,Others,#888888
889,GLP,#32CD32
900,Center,#C56C46
905,SVP,#4F7942
911,GLP,#32CD32
912,SVP,#4F7942
914,FDP,#0000FF
915,EDU,#00008B
918,SP,#FF0000
930,FDP,#0000FF
939,EVP,#FFA500
950,SP,#FF0000
957,Others,#888888
969,Others,#888888
981,GLP,#32CD32
983,SVP,#4F7942
990,GLP,#32CD32
991,GLP,#32CD32
1007,Others,#888888
1012,FDP,#0000FF
1018,Greens,#008000
1020,EDU,#00008B
1021,Center,#C56C46
1026,Greens,#008000
