voter,party,color
3613,SVP,#4F7942
3664,SP,#FF0000
5899,SVP,#4F7942
9268,Mitte,#C56C46
10160,SVP,#4F7942
10641,SP,#FF0000
12453,SVP,#4F7942
15191,GLP,#32CD32
17215,SVP,#4F7942
17409,SP,#FF0000
17872,SP,#FF0000
18433,SVP,#4F7942
18465,Mitte,#C56C46
19274,SVP,#4F7942
19775,FDP,#0000FF
20702,Sonstige,#888888
21631,GLP,#32CD32
21847,SVP,#4F7942
25622,FDP,#0000FF
29012,SVP,#4F7942
30499,SP,#FF0000
30520,GLP,#32CD32
30626,Mitte,#C56C46
31296,SP,#FF0000
33074,Mitte,#C56C46
35160,FDP,#0000FF
39221,FDP,#0000FF
42509,Mitte,#C56C46
44546,Mitte,#C56C46
45054,SP,#FF0000
45497,Sonstige,#888888
45660,SP,#FF0000
54593,SP,#FF0000
56576,SVP,#4F7942
59271,SP,#FF0000
60489,FDP,#0000FF
62104,SVP,#4F7942
64363,SVP,#4F7942
64422,SVP,#4F7942
65021,Grüne,#008000
65394,SP,#FF0000
66953,Mitte,#C56C46
69918,FDP,#0000FF
71001,SVP,#4F7942
71117,SP,#FF0000
74346,SVP,#4F7942
82059,SVP,#4F7942
83444,Grüne,#008000
86668,FDP,#0000FF
86839,Mitte,#C56C46
91026,Grüne,#008000
91389,SP,#FF0000
91729,GLP,#32CD32
91922,Sonstige,#888888
93706,Mitte,#C56C46
94875,SP,#FF0000
95844,SVP,#4F7942
96406,EDU,#00008B
98291,SVP,#4F7942
99471,SP,#FF0000
103330,SP,#FF0000
103938,SVP,#4F7942
105894,Grüne,#008000
105954,GLP,#32CD32
106076,SP,#FF0000
108274,Mitte,#C56C46
111029,Grüne,#008000
112047,EDU,#00008B
117539,GLP,#32CD32
119328,GLP,#32CD32
120992,Sonstige,#888888
121210,Grüne,#008000
122880,SP,#FF0000
124064,SVP,#4F7942
125346,Mitte,#C56C46
126757,GLP,#32CD32
129480,SVP,#4F7942
130119,Mitte,#C56C46
132127,GLP,#32CD32
135110,GLP,#32CD32
136444,Mitte,#C56C46
139175,SP,#FF0000
140119,SP,#FF0000
140898,SVP,#4F7942
141041,SVP,#4F7942
141057,Grüne,#008000
141224,GLP,#32CD32
144926,GLP,#32CD32
148578,SVP,#4F7942
150640,Grüne,#008000
150691,Sonstige,#888888
151161,SP,#FF0000
151869,SVP,#4F7942
152734,Mitte,#C56C46
153791,SVP,#4F7942
157152,SP,#FF0000
160838,SP,#FF0000
161351,EVP,#FFA500
161733,Grüne,#008000
162562,SP,#FF0000
167467,SVP,#4F7942
168800,Sonstige,#888888
170034,FDP,#0000FF
172307,SVP,#4F7942
172774,Grüne,#008000
172881,SP,#FF0000
175373,SVP,#4F7942
175845,GLP,#32CD32
178063,SP,#FF0000
178587,SP,#FF0000
181403,SVP,#4F7942
181854,SVP,#4F7942
182534,GLP,#32CD32
183137,Mitte,#C56C46
185582,SP,#FF0000
185663,SVP,#4F7942
186888,SVP,#4F7942
188247,FDP,#0000FF
188563,SP,#FF0000
190243,FDP,#0000FF
191163,FDP,#0000FF
191439,Sonstige,#888888
192964,SP,#FF0000
193574,SVP,#4F7942
193675,SVP,#4F7942
193751,Grüne,#008000
193926,SVP,#4F7942
194995,FDP,#0000FF
197133,GLP,#32CD32
197490,SVP,#4F7942
197692,SP,#FF0000
199630,Grüne,#008000
201019,Sonstige,#888888
204017,Grüne,#008000
207500,Sonstige,#888888
208035,SVP,#4F7942
208224,FDP,#0000FF
210080,SP,#FF0000
210620,FDP,#0000FF
213672,SP,#FF0000
214762,Grüne,#008000
215500,SVP,#4F7942
215647,SVP,#4F7942
215737,FDP,#0000FF
220216,SVP,#4F7942
220220,GLP,#32CD32
224010,Grüne,#008000
224021,FDP,#0000FF
224571,SP,#FF0000
224760,SP,#FF0000
225894,SVP,#4F7942
226015,SVP,#4F7942
226324,GLP,#32CD32
229816,SP,#FF0000
230236,SVP,#4F7942
231839,GLP,#32CD32
235088,SP,#FF0000
237024,SP,#FF0000
237298,Mitte,#C56C46
237954,GLP,#32CD32
238614,FDP,#0000FF
238915,Grüne,#008000
239455,EVP,#FFA500
239564,SVP,#4F7942
239912,GLP,#32CD32
240615,SVP,#4F7942
241265,FDP,#0000FF
242392,Sonstige,#888888
243742,FDP,#0000FF
244958,Grüne,#008000
245085,SVP,#4F7942
246118,SVP,#4F7942
247284,EVP,#FFA500
252526,EVP,#FFA500
253205,FDP,#0000FF
253517,SP,#FF0000
255333,Mitte,#C56C46
255420,SVP,#4F7942
255514,SVP,#4F7942
255673,SVP,#4F7942
257506,SP,#FF0000
261048,SVP,#4F7942
261501,SVP,#4F7942
264569,GLP,#32CD32
264946,SP,#FF0000
268788,FDP,#0000FF
270124,SVP,#4F7942
271504,Grüne,#008000
272053,SP,#FF0000
272054,GLP,#32CD32
274114,SVP,#4F7942
277992,SP,#FF0000
278904,FDP,#0000FF
279013,SVP,#4F7942
279133,SVP,#4F7942
279567,SVP,#4F7942
280143,GLP,#32CD32
280693,Mitte,#C56C46
280785,Sonstige,#888888
284602,FDP,#0000FF
288321,Grüne,#008000
289442,Grüne,#008000
290314,EVP,#FFA500
292663,SP,#FF0000
293323,Mitte,#C56C46
293883,SVP,#4F7942
294052,SVP,#4F7942
296410,SP,#FF0000
299031,FDP,#0000FF
299255,Mitte,#C56C46
299786,FDP,#0000FF
301828,SVP,#4F7942
301962,GLP,#32CD32
305864,SP,#FF0000
306085,SVP,#4F7942
308436,SVP,#4F7942
308834,SVP,#4F7942
308969,SP,#FF0000
309360,SP,#FF0000
309712,SVP,#4F7942
312052,GLP,#32CD32
313682,EVP,#FFA500
314079,EVP,#FFA500
314951,GLP,#32CD32
318833,FDP,#0000FF
325973,GLP,#32CD32
326030,GLP,#32CD32
326828,FDP,#0000FF
327142,Sonstige,#888888
330733,Sonstige,#888888
332107,SVP,#4F7942
333167,SVP,#4F7942
333437,Grüne,#008000
334076,SP,#FF0000
335458,Sonstige,#888888
336556,SP,#FF0000
337455,SP,#FF0000
337655,SP,#FF0000
338144,Mitte,#C56C46
340739,SVP,#4F7942
342051,SVP,#4F7942
342212,GLP,#32CD32
343497,Mitte,#C56C46
343568,SP,#FF0000
343894,FDP,#0000FF
343918,FDP,#0000FF
350589,FDP,#0000FF
352103,SP,#FF0000
352937,SP,#FF0000
353009,EDU,#00008B
353096,Mitte,#C56C46
353621,SP,#FF0000
353783,SVP,#4F7942
353994,SVP,#4F7942
354100,GLP,#32CD32
355438,Sonstige,#888888
357360,Mitte,#C56C46
358807,SVP,#4F7942
359701,Mitte,#C56C46
360425,EVP,#FFA500
360593,SVP,#4F7942
364253,Mitte,#C56C46
365348,SVP,#4F7942
365721,SVP,#4F7942
367407,GLP,#32CD32
367551,SP,#FF0000
368694,SP,#FF0000
374607,SP,#FF0000
376340,Grüne,#008000
377391,SP,#FF0000
379219,FDP,#0000FF
381729,Mitte,#C56C46
383820,SP,#FF0000
385106,FDP,#0000FF
385857,SP,#FF0000
387477,Mitte,#C56C46
391703,SVP,#4F7942
393187,SP,#FF0000
397166,SVP,#4F7942
397332,Mitte,#C56C46
398864,FDP,#0000FF
398876,SVP,#4F7942
400611,GLP,#32CD32
400981,Grüne,#008000
401907,GLP,#32CD32
402496,FDP,#0000FF
403242,SP,#FF0000
405064,SVP,#4F7942
407264,SVP,#4F7942
407578,SVP,#4F7942
408342,SP,#FF0000
409008,GLP,#32CD32
409606,SP,#FF0000
410359,FDP,#0000FF
410488,FDP,#0000FF
410713,SP,#FF0000
411469,EVP,#FFA500
415079,Grüne,#008000
415158,GLP,#32CD32
417097,Grüne,#008000
417606,EVP,#FFA500
418776,Mitte,#C56C46
418866,Grüne,#008000
418960,SVP,#4F7942
419742,FDP,#0000FF
420546,SVP,#4F7942
421017,SVP,#4F7942
421155,GLP,#32CD32
421205,Grüne,#008000
421630,GLP,#32CD32
422479,Mitte,#C56C46
423013,SVP,#4F7942
425218,SP,#FF0000
