candidateId,party,color
42102,Republican,#FF0000
94659,Republican,#FF0000
40300,Republican,#FF0000
41500,Republican,#FF0000
21300,Democrat,#0000FF
41905,Democrat,#0000FF
20101,Republican,#FF0000
21301,Republican,#FF0000
41701,Democrat,#0000FF
42104,Democrat,#0000FF
49300,Democrat,#0000FF
40910,Democrat,#0000FF
42101,Democrat,#0000FF
20707,Democrat,#0000FF
41101,Democrat,#0000FF
15015,Democrat,#0000FF
40916,Democrat,#0000FF
41102,Republican,#FF0000
41903,Republican,#FF0000
41904,Republican,#FF0000
42103,Democrat,#0000FF
42105,Democrat,#0000FF
20713,Democrat,#0000FF
41112,Democrat,#0000FF
29345,Republican,#FF0000
40902,Republican,#FF0000
15021,Democrat,#0000FF
21325,Democrat,#0000FF
21133,Republican,#FF0000
41900,Republican,#FF0000
14226,Republican,#FF0000
41502,Republican,#FF0000
21734,Republican,#FF0000
29722,Republican,#FF0000
14921,Republican,#FF0000
41104,Republican,#FF0000
20919,Republican,#FF0000
41703,Republican,#FF0000
41300,Independent,#888888
49703,Republican,#FF0000
15408,Democrat,#0000FF
20330,Democrat,#0000FF
14435,Democrat,#0000FF
41301,Democrat,#0000FF
20923,Democrat,#0000FF
29732,Democrat,#0000FF
40700,Democrat,#0000FF
41706,Democrat,#0000FF
29534,Republican,#FF0000
41707,Republican,#FF0000
29735,Republican,#FF0000
41901,Republican,#FF0000
21338,Republican,#FF0000
40702,Democrat,#0000FF
41302,Republican,#FF0000
41503,Republican,#FF0000
21743,Democrat,#0000FF
41700,Democrat,#0000FF
40906,Democrat,#0000FF
41702,Democrat,#0000FF
29373,Democrat,#0000FF
41308,Democrat,#0000FF
20930,Democrat,#0000FF
20932,Democrat,#0000FF
14858,Democrat,#0000FF
20735,Democrat,#0000FF
29548,Republican,#FF0000
41504,Republican,#FF0000
21350,Republican,#FF0000
41107,Republican,#FF0000
29386,Republican,#FF0000
29389,Democrat,#0000FF
15424,Republican,#FF0000
21166,Republican,#FF0000
14871,Democrat,#0000FF
40908,Democrat,#0000FF
29935,Republican,#FF0000
40703,Democrat,#0000FF
29142,Democrat,#0000FF
40704,Democrat,#0000FF
21173,Republican,#FF0000
29566,Republican,#FF0000
29754,Republican,#FF0000
41505,Republican,#FF0000
20351,Republican,#FF0000
42100,Republican,#FF0000
40305,Republican,#FF0000
41304,Republican,#FF0000
41110,Republican,#FF0000
41902,Republican,#FF0000
14307,Democrat,#0000FF
29147,Independent,#888888
40909,Democrat,#0000FF
41305,Democrat,#0000FF
39310,Democrat,#0000FF
49308,Democrat,#0000FF
20146,Republican,#FF0000
40915,Democrat,#0000FF
29940,Democrat,#0000FF
41111,Republican,#FF0000
20953,Republican,#FF0000
40707,Republican,#FF0000
