fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2136,0.7461,0.2797,,,,emirt,0.0,0
0.2126,0.7504,0.2786,0.2251,0.7271,0.2973,emirt,0.3,0
0.2124,0.7506,0.2785,0.2256,0.726,0.2977,emirt,0.3,1
0.2127,0.7507,0.2787,0.2254,0.7265,0.2971,emirt,0.3,2
0.2126,0.7506,0.2787,0.2249,0.7271,0.2968,emirt,0.3,3
0.2128,0.7506,0.2789,0.2251,0.727,0.297,emirt,0.3,4
0.2113,0.7632,0.277,0.235,0.7177,0.3117,emirt,0.6,0
0.2102,0.7633,0.2763,0.2342,0.7172,0.3117,emirt,0.6,1
0.2114,0.7633,0.2769,0.2347,0.7163,0.3111,emirt,0.6,2
0.2112,0.7627,0.2768,0.2343,0.7173,0.3106,emirt,0.6,3
0.2115,0.7615,0.2773,0.2341,0.7179,0.3102,emirt,0.6,4
0.2168,0.8219,0.2798,0.3035,0.6482,0.3959,emirt,0.9,0
0.214,0.8246,0.2767,0.3001,0.6598,0.3926,emirt,0.9,1
0.2105,0.8218,0.274,0.2985,0.6455,0.3914,emirt,0.9,2
0.2123,0.8285,0.2746,0.2961,0.6616,0.3873,emirt,0.9,3
0.2205,0.8123,0.2823,0.307,0.6411,0.3969,emirt,0.9,4
