fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2064,0.7769,0.2728,,,,ixplore-binarised,0.0,0
0.2061,0.7862,0.2728,0.2293,0.7369,0.3078,ixplore-binarised,0.3,0
0.206,0.7852,0.2726,0.2296,0.7338,0.3081,ixplore-binarised,0.3,1
0.206,0.7857,0.2728,0.2295,0.7355,0.3076,ixplore-binarised,0.3,2
0.2055,0.7854,0.2722,0.2283,0.7372,0.3068,ixplore-binarised,0.3,3
0.2064,0.7854,0.2731,0.2293,0.7352,0.3074,ixplore-binarised,0.3,4
0.2032,0.8044,0.2702,0.2448,0.7194,0.3318,ixplore-binarised,0.6,0
0.203,0.8052,0.2699,0.245,0.7181,0.3319,ixplore-binarised,0.6,1
0.2026,0.8067,0.2697,0.2449,0.7182,0.332,ixplore-binarised,0.6,2
0.2032,0.806,0.2701,0.2456,0.7176,0.3329,ixplore-binarised,0.6,3
0.2041,0.8056,0.2713,0.2451,0.7188,0.3313,ixplore-binarised,0.6,4
0.2036,0.92,0.2691,0.3381,0.6462,0.4438,ixplore-binarised,0.9,0
0.1977,0.9248,0.2635,0.3364,0.6495,0.4454,ixplore-binarised,0.9,1
0.1996,0.9205,0.2656,0.3343,0.6525,0.4426,ixplore-binarised,0.9,2
0.2027,0.9217,0.2689,0.3376,0.6474,0.4439,ixplore-binarised,0.9,3
0.2005,0.9198,0.2664,0.3364,0.6471,0.4444,ixplore-binarised,0.9,4
