fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.192,0.7597,0.2474,,,,ixplore,0.0,0
0.1882,0.7644,0.2436,0.2092,0.7311,0.2711,ixplore,0.3,0
0.188,0.7649,0.2434,0.2098,0.7288,0.2716,ixplore,0.3,1
0.1882,0.7646,0.2436,0.2095,0.73,0.2714,ixplore,0.3,2
0.1883,0.7649,0.2438,0.209,0.7311,0.2707,ixplore,0.3,3
0.1883,0.7645,0.2438,0.2091,0.73,0.2708,ixplore,0.3,4
0.179,0.7749,0.2346,0.2169,0.7175,0.2837,ixplore,0.6,0
0.1789,0.776,0.2343,0.2172,0.7168,0.2841,ixplore,0.6,1
0.1791,0.7771,0.2345,0.217,0.7172,0.2838,ixplore,0.6,2
0.1792,0.7763,0.2347,0.2171,0.7182,0.2839,ixplore,0.6,3
0.1795,0.776,0.2351,0.2169,0.7172,0.2835,ixplore,0.6,4
0.1334,0.8483,0.1848,0.2629,0.6524,0.3432,ixplore,0.9,0
0.1325,0.8521,0.1837,0.2621,0.6503,0.3421,ixplore,0.9,1
0.133,0.851,0.1842,0.2636,0.6482,0.3443,ixplore,0.9,2
0.1324,0.852,0.184,0.2637,0.6481,0.3444,ixplore,0.9,3
0.1335,0.8515,0.1848,0.2623,0.651,0.3428,ixplore,0.9,4
