fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1959,0.7622,0.2617,,,,kernel-pca,0.0,0
0.1944,0.7654,0.2597,0.2151,0.7328,0.2845,kernel-pca,0.3,0
0.1943,0.7659,0.2596,0.2155,0.7315,0.2847,kernel-pca,0.3,1
0.1943,0.7652,0.2598,0.2155,0.7319,0.2847,kernel-pca,0.3,2
0.1945,0.7655,0.2599,0.2147,0.7334,0.2837,kernel-pca,0.3,3
0.1946,0.7657,0.2599,0.2153,0.7318,0.2843,kernel-pca,0.3,4
0.1911,0.7702,0.2555,0.2224,0.7215,0.2923,kernel-pca,0.6,0
0.1911,0.771,0.2554,0.2226,0.7216,0.2925,kernel-pca,0.6,1
0.1908,0.7721,0.2554,0.2224,0.7206,0.2925,kernel-pca,0.6,2
0.1909,0.7716,0.2553,0.2223,0.7224,0.2924,kernel-pca,0.6,3
0.1911,0.7722,0.2556,0.2223,0.7216,0.2921,kernel-pca,0.6,4
0.1987,0.7575,0.2638,0.2393,0.6909,0.3039,kernel-pca,0.9,0
0.1947,0.7692,0.2609,0.239,0.6931,0.3047,kernel-pca,0.9,1
0.1958,0.7637,0.2625,0.2391,0.6911,0.3044,kernel-pca,0.9,2
0.1972,0.762,0.2633,0.2395,0.6922,0.3049,kernel-pca,0.9,3
0.1986,0.7617,0.2643,0.2388,0.6961,0.3032,kernel-pca,0.9,4
