fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1937,0.7641,0.2481,,,,pca-linear,0.0,0
0.2001,0.7651,0.2505,0.2172,0.7344,0.2696,pca-linear,0.3,0
0.2,0.7657,0.2503,0.2179,0.7329,0.2702,pca-linear,0.3,1
0.2,0.7652,0.2504,0.2174,0.7335,0.2698,pca-linear,0.3,2
0.2004,0.7654,0.2508,0.2168,0.735,0.2691,pca-linear,0.3,3
0.2003,0.765,0.2507,0.2173,0.7337,0.2695,pca-linear,0.3,4
0.2106,0.7578,0.2583,0.2291,0.7182,0.2798,pca-linear,0.6,0
0.2104,0.7597,0.2581,0.2289,0.7191,0.2797,pca-linear,0.6,1
0.2104,0.7598,0.2581,0.2288,0.7183,0.2796,pca-linear,0.6,2
0.2107,0.7591,0.2583,0.2289,0.7199,0.2796,pca-linear,0.6,3
0.2109,0.759,0.2586,0.2287,0.72,0.2793,pca-linear,0.6,4
0.2225,0.7325,0.2741,0.2443,0.6876,0.2959,pca-linear,0.9,0
0.2221,0.7361,0.2732,0.2438,0.687,0.2956,pca-linear,0.9,1
0.2216,0.7367,0.2736,0.2439,0.6865,0.2957,pca-linear,0.9,2
0.2217,0.7318,0.2735,0.2439,0.6834,0.2958,pca-linear,0.9,3
0.2231,0.7326,0.2749,0.2439,0.6877,0.2957,pca-linear,0.9,4
