fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1943,0.7663,0.2607,,,,pca-logistic,0.0,0
0.1913,0.7721,0.2578,0.2157,0.736,0.2904,pca-logistic,0.3,0
0.1911,0.773,0.2576,0.2162,0.7331,0.291,pca-logistic,0.3,1
0.1912,0.7725,0.2578,0.216,0.7343,0.2904,pca-logistic,0.3,2
0.1913,0.7718,0.2579,0.2152,0.736,0.2894,pca-logistic,0.3,3
0.1915,0.7723,0.258,0.2159,0.7341,0.2901,pca-logistic,0.3,4
0.1838,0.7875,0.2505,0.2281,0.7235,0.3096,pca-logistic,0.6,0
0.184,0.7872,0.2506,0.2284,0.723,0.3098,pca-logistic,0.6,1
0.1839,0.7885,0.2506,0.2286,0.7215,0.3101,pca-logistic,0.6,2
0.184,0.7877,0.2507,0.2284,0.7219,0.3101,pca-logistic,0.6,3
0.1844,0.7874,0.2512,0.2286,0.7214,0.3097,pca-logistic,0.6,4
0.1598,0.8552,0.225,0.2744,0.6787,0.3701,pca-logistic,0.9,0
0.1594,0.8581,0.2242,0.2746,0.6789,0.3706,pca-logistic,0.9,1
0.1583,0.8558,0.224,0.2746,0.6781,0.3707,pca-logistic,0.9,2
0.1581,0.858,0.2237,0.2758,0.6769,0.3719,pca-logistic,0.9,3
0.1602,0.8581,0.2252,0.2733,0.6793,0.3685,pca-logistic,0.9,4
