fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2023,0.7478,0.268,,,,tsne-logistic,0.0,0
0.2103,0.735,0.2752,0.2217,0.7202,0.2894,tsne-logistic,0.3,0
0.211,0.737,0.2758,0.2236,0.7184,0.291,tsne-logistic,0.3,1
0.2041,0.7454,0.2698,0.2202,0.7193,0.2889,tsne-logistic,0.3,2
0.2027,0.7433,0.2684,0.2176,0.7224,0.2871,tsne-logistic,0.3,3
0.2077,0.7396,0.2732,0.2217,0.7168,0.2899,tsne-logistic,0.3,4
0.2122,0.7351,0.2759,0.2307,0.7102,0.2982,tsne-logistic,0.6,0
0.2097,0.7437,0.2739,0.23,0.7078,0.2991,tsne-logistic,0.6,1
0.2069,0.7432,0.2712,0.2289,0.7075,0.2998,tsne-logistic,0.6,2
0.2116,0.7376,0.2759,0.2286,0.7109,0.2967,tsne-logistic,0.6,3
0.2115,0.739,0.2758,0.2289,0.7105,0.2976,tsne-logistic,0.6,4
0.2008,0.7549,0.2629,0.2565,0.6741,0.3379,tsne-logistic,0.9,0
0.1961,0.7658,0.2594,0.2534,0.6759,0.3326,tsne-logistic,0.9,1
0.1942,0.7674,0.259,0.2512,0.6758,0.3302,tsne-logistic,0.9,2
0.1943,0.7662,0.2585,0.2526,0.6763,0.3321,tsne-logistic,0.9,3
0.1994,0.7614,0.2628,0.2544,0.6749,0.3337,tsne-logistic,0.9,4
