fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1992,0.7529,0.2651,,,,umap-logistic,0.0,0
0.1987,0.7524,0.2645,0.2162,0.7264,0.2868,umap-logistic,0.3,0
0.199,0.751,0.2647,0.217,0.7228,0.2869,umap-logistic,0.3,1
0.1989,0.7518,0.2646,0.2166,0.7242,0.2866,umap-logistic,0.3,2
0.1991,0.7511,0.2649,0.2159,0.7251,0.2858,umap-logistic,0.3,3
0.1992,0.7522,0.265,0.2162,0.7247,0.2862,umap-logistic,0.3,4
0.2096,0.7302,0.2742,0.2293,0.707,0.2981,umap-logistic,0.6,0
0.2092,0.7374,0.2739,0.2292,0.7082,0.2982,umap-logistic,0.6,1
0.2099,0.7347,0.2746,0.2294,0.7067,0.2985,umap-logistic,0.6,2
0.2087,0.7338,0.2726,0.2284,0.7069,0.2977,umap-logistic,0.6,3
0.2094,0.7339,0.2736,0.2288,0.7063,0.2979,umap-logistic,0.6,4
0.2206,0.7243,0.2813,0.2598,0.6595,0.3334,umap-logistic,0.9,0
0.2181,0.7392,0.2796,0.259,0.6634,0.3349,umap-logistic,0.9,1
0.2281,0.7278,0.2888,0.2637,0.6543,0.3394,umap-logistic,0.9,2
0.2243,0.7363,0.2851,0.2657,0.6518,0.3427,umap-logistic,0.9,3
0.2241,0.7334,0.2846,0.2663,0.6504,0.3437,umap-logistic,0.9,4
