fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2386,0.7156,0.2861,,,,vae-2layer,0.0,0
0.2329,0.7215,0.2814,0.237,0.7101,0.2866,vae-2layer,0.3,0
0.2342,0.7219,0.2815,0.2391,0.7098,0.2875,vae-2layer,0.3,1
0.2352,0.7206,0.2822,0.2391,0.7085,0.2872,vae-2layer,0.3,2
0.2352,0.7209,0.2823,0.2386,0.7107,0.2867,vae-2layer,0.3,3
0.2344,0.7213,0.282,0.2382,0.7108,0.2867,vae-2layer,0.3,4
0.2256,0.7327,0.2734,0.2341,0.7113,0.2839,vae-2layer,0.6,0
0.2303,0.7307,0.2762,0.2384,0.7104,0.286,vae-2layer,0.6,1
0.2288,0.7318,0.2755,0.2369,0.7091,0.2852,vae-2layer,0.6,2
0.2281,0.7312,0.2749,0.2361,0.7113,0.2847,vae-2layer,0.6,3
0.2288,0.7303,0.2756,0.2363,0.7117,0.2847,vae-2layer,0.6,4
0.1784,0.8242,0.2226,0.2344,0.6954,0.2927,vae-2layer,0.9,0
0.1759,0.8307,0.2199,0.2337,0.698,0.292,vae-2layer,0.9,1
0.1781,0.8252,0.2219,0.234,0.6968,0.2916,vae-2layer,0.9,2
0.1792,0.8252,0.2234,0.2346,0.6961,0.292,vae-2layer,0.9,3
0.1813,0.8198,0.2258,0.2343,0.696,0.2916,vae-2layer,0.9,4
