Prior,param,iteration,mae,accuracy,spread,boundary
Gaussian,0.05,1,0.1825,0.8355,0.2345,0.0
Gaussian,0.05,2,0.1816,0.8358,0.1657,0.0
Gaussian,0.05,3,0.1811,0.8359,0.13,0.0
Gaussian,0.05,4,0.1809,0.8359,0.1083,0.0
Gaussian,0.05,5,0.1807,0.8358,0.0938,0.0
Gaussian,0.1,1,0.182,0.8356,0.3173,0.1127
Gaussian,0.1,2,0.1813,0.8359,0.2494,0.0272
Gaussian,0.1,3,0.181,0.8359,0.2087,0.0058
Gaussian,0.1,4,0.1808,0.8359,0.1816,0.0
Gaussian,0.1,5,0.1807,0.8358,0.1624,0.0
Gaussian,0.25,1,0.182,0.8352,0.3907,0.2099
Gaussian,0.25,2,0.1813,0.8356,0.3402,0.1526
Gaussian,0.25,3,0.181,0.8358,0.3062,0.1205
Gaussian,0.25,4,0.1808,0.8359,0.2819,0.0923
Gaussian,0.25,5,0.1807,0.8357,0.2639,0.0739
Gaussian,0.5,1,0.182,0.8348,0.4199,0.2614
Gaussian,0.5,2,0.1814,0.8355,0.3808,0.2031
Gaussian,0.5,3,0.1811,0.8357,0.3535,0.1749
Gaussian,0.5,4,0.1809,0.8357,0.3338,0.1458
Gaussian,0.5,5,0.1808,0.8357,0.3192,0.1331
Gaussian,1.0,1,0.1821,0.8348,0.4354,0.2896
Gaussian,1.0,2,0.1815,0.8352,0.4033,0.243
Gaussian,1.0,3,0.1812,0.8357,0.3807,0.2041
Gaussian,1.0,4,0.181,0.8356,0.3644,0.1846
Gaussian,1.0,5,0.1809,0.8357,0.3525,0.1652
Log-barrier,0.1,1,0.1822,0.8346,0.4384,0.2886
Log-barrier,0.1,2,0.1817,0.835,0.41,0.243
Log-barrier,0.1,3,0.1813,0.8356,0.3902,0.2089
Log-barrier,0.1,4,0.1812,0.8356,0.3763,0.1885
Log-barrier,0.1,5,0.181,0.8356,0.3664,0.1749
Log-barrier,0.2,1,0.1822,0.8346,0.4302,0.2643
Log-barrier,0.2,2,0.1816,0.8351,0.3987,0.2216
Log-barrier,0.2,3,0.1813,0.8356,0.377,0.1876
Log-barrier,0.2,4,0.1811,0.8355,0.3617,0.1662
Log-barrier,0.2,5,0.181,0.8356,0.3506,0.1526
Log-barrier,0.5,1,0.1823,0.8347,0.4081,0.2187
Log-barrier,0.5,2,0.1816,0.8351,0.3691,0.1642
Log-barrier,0.5,3,0.1813,0.8354,0.3429,0.1331
Log-barrier,0.5,4,0.181,0.8357,0.3244,0.1147
Log-barrier,0.5,5,0.1809,0.8356,0.3109,0.0943
Log-barrier,2.0,1,0.1827,0.8353,0.3335,0.0447
Log-barrier,2.0,2,0.1817,0.8356,0.2773,0.0049
Log-barrier,2.0,3,0.1812,0.8356,0.243,0.0
Log-barrier,2.0,4,0.181,0.8358,0.2199,0.0
Log-barrier,2.0,5,0.1808,0.8358,0.2033,0.0
Log-barrier,5.0,1,0.1832,0.8351,0.2557,0.0
Log-barrier,5.0,2,0.1819,0.8356,0.1945,0.0
Log-barrier,5.0,3,0.1813,0.8358,0.1608,0.0
Log-barrier,5.0,4,0.181,0.8358,0.1395,0.0
Log-barrier,5.0,5,0.1808,0.8358,0.1249,0.0
