n_obs,method,mae,mean_std
5,Rasch,0.22438057059558514,0.09542557448842341
10,Rasch,0.20466087314046497,0.09384381797658009
15,Rasch,0.19738413103336572,0.09307543570575946
30,Rasch,0.18947621747111543,0.09252702641478758
45,Rasch,0.1859937641723356,0.09197390613980068
60,Rasch,0.18363160025915126,0.09198310183548702
70,Rasch,0.18574101068999027,0.09200129759282166
5,Posterior,0.2446821822484349,0.193363286345197
10,Posterior,0.21916547560920796,0.14621478012872902
15,Posterior,0.20886148852409045,0.12125099895055379
30,Posterior,0.1973165074657162,0.08644727786553978
45,Posterior,0.19179868384715673,0.0701815539392581
60,Posterior,0.18873668768048213,0.060640486802654076
70,Posterior,0.19013289371745892,0.055078678362657375
5,Random,0.38417435300912967,0.28781138393405886
10,Random,0.3844274576957525,0.2878106921051056
15,Random,0.38369702443273745,0.2878775199087458
30,Random,0.3844930933579932,0.2878068864302408
45,Random,0.383479796463715,0.28778850258370364
60,Random,0.38372638064208864,0.2877506924569468
70,Random,0.38582565932345775,0.28779788063537237
5,Posterior mean,0.2261897866614699,
10,Posterior mean,0.20670764111302395,
15,Posterior mean,0.1993927646779629,
30,Posterior mean,0.19156303306458577,
45,Posterior mean,0.1878875964684056,
60,Posterior mean,0.18558214662211753,
70,Posterior mean,0.18776669213460567,
