fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2233,0.8525,0.3227,,,,emirt,0.0,0
0.2217,0.8553,0.3205,0.2371,0.8323,0.3419,emirt,0.3,0
0.223,0.8548,0.3215,0.2341,0.8338,0.3377,emirt,0.3,1
0.2198,0.8572,0.3193,0.2369,0.8294,0.3455,emirt,0.3,2
0.2222,0.8563,0.3203,0.2361,0.8304,0.3409,emirt,0.3,3
0.2217,0.8569,0.3199,0.2384,0.8276,0.3432,emirt,0.3,4
0.2162,0.8645,0.3127,0.2428,0.8227,0.3488,emirt,0.6,0
0.2195,0.8629,0.3153,0.2432,0.8232,0.3483,emirt,0.6,1
0.217,0.8615,0.3137,0.2414,0.8219,0.3499,emirt,0.6,2
0.2175,0.8639,0.3136,0.2453,0.8204,0.35,emirt,0.6,3
0.2178,0.8642,0.3137,0.2449,0.8193,0.351,emirt,0.6,4
0.2148,0.881,0.2996,0.2989,0.7534,0.4045,emirt,0.9,0
0.2037,0.8987,0.2888,0.2883,0.7717,0.3961,emirt,0.9,1
0.1971,0.9014,0.2808,0.2837,0.7763,0.3902,emirt,0.9,2
0.2081,0.8861,0.2938,0.2934,0.7679,0.3989,emirt,0.9,3
0.2117,0.877,0.3008,0.302,0.7433,0.4112,emirt,0.9,4
