fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2251,0.8507,0.3187,,,,ideal,0.0,0
0.2199,0.857,0.3137,0.2424,0.8225,0.3451,ideal,0.3,0
0.2219,0.8549,0.3138,0.241,0.828,0.3414,ideal,0.3,1
0.2204,0.8581,0.3133,0.2451,0.822,0.3483,ideal,0.3,2
0.2215,0.8553,0.3147,0.2431,0.8219,0.3464,ideal,0.3,3
0.2214,0.8591,0.3127,0.246,0.8205,0.3455,ideal,0.3,4
0.209,0.8727,0.3038,0.2483,0.8143,0.3568,ideal,0.6,0
0.2094,0.8695,0.3039,0.2481,0.8148,0.3575,ideal,0.6,1
0.2111,0.8707,0.305,0.249,0.8125,0.3593,ideal,0.6,2
0.2094,0.8683,0.3037,0.2477,0.8106,0.357,ideal,0.6,3
0.2109,0.866,0.3053,0.2505,0.8071,0.3582,ideal,0.6,4
0.1387,0.9374,0.249,0.278,0.7558,0.437,ideal,0.9,0
0.1423,0.9276,0.2568,0.2776,0.7578,0.4377,ideal,0.9,1
0.1304,0.9393,0.2411,0.2825,0.7515,0.4432,ideal,0.9,2
0.1411,0.9228,0.2538,0.2811,0.7472,0.4396,ideal,0.9,3
0.1449,0.9278,0.2546,0.2828,0.7553,0.4362,ideal,0.9,4
