fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1945,0.8725,0.3048,,,,ixplore-binarised,0.0,0
0.1863,0.8806,0.2984,0.2264,0.8273,0.3547,ixplore-binarised,0.3,0
0.1884,0.8781,0.3008,0.2232,0.8343,0.3527,ixplore-binarised,0.3,1
0.1859,0.8817,0.2983,0.2269,0.8246,0.36,ixplore-binarised,0.3,2
0.1879,0.8809,0.2995,0.226,0.8248,0.3574,ixplore-binarised,0.3,3
0.1869,0.8826,0.299,0.2271,0.8238,0.3581,ixplore-binarised,0.3,4
0.1667,0.9045,0.2818,0.2352,0.8132,0.3803,ixplore-binarised,0.6,0
0.1714,0.8974,0.2871,0.2353,0.8133,0.3782,ixplore-binarised,0.6,1
0.1717,0.8969,0.2865,0.2395,0.805,0.3863,ixplore-binarised,0.6,2
0.1682,0.9025,0.2829,0.2385,0.8052,0.3843,ixplore-binarised,0.6,3
0.1727,0.8975,0.2873,0.2397,0.8053,0.3829,ixplore-binarised,0.6,4
0.0865,0.9808,0.2051,0.2905,0.7387,0.4912,ixplore-binarised,0.9,0
0.0887,0.9776,0.2057,0.3031,0.7243,0.4987,ixplore-binarised,0.9,1
0.085,0.9776,0.2034,0.2865,0.7445,0.485,ixplore-binarised,0.9,2
0.0866,0.9773,0.2037,0.2921,0.7338,0.4887,ixplore-binarised,0.9,3
0.0807,0.9806,0.1986,0.2863,0.7446,0.4866,ixplore-binarised,0.9,4
