fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1999,0.8674,0.2969,,,,ixplore,0.0,0
0.1926,0.8731,0.2908,0.2279,0.8284,0.339,ixplore,0.3,0
0.1944,0.8716,0.2925,0.2241,0.8345,0.3352,ixplore,0.3,1
0.1926,0.8749,0.2903,0.2279,0.8249,0.3411,ixplore,0.3,2
0.1936,0.8726,0.2913,0.2273,0.8283,0.3384,ixplore,0.3,3
0.1934,0.8747,0.2909,0.2288,0.8257,0.3396,ixplore,0.3,4
0.1754,0.8925,0.2752,0.2349,0.8164,0.357,ixplore,0.6,0
0.177,0.8884,0.2776,0.235,0.8149,0.3575,ixplore,0.6,1
0.1787,0.8862,0.2781,0.2337,0.8159,0.3547,ixplore,0.6,2
0.1772,0.8904,0.2759,0.2358,0.8156,0.3567,ixplore,0.6,3
0.1785,0.8853,0.2781,0.2373,0.8105,0.358,ixplore,0.6,4
0.0799,0.9684,0.1699,0.3016,0.727,0.4727,ixplore,0.9,0
0.0853,0.9641,0.1782,0.3038,0.7231,0.4717,ixplore,0.9,1
0.0816,0.9672,0.174,0.3102,0.7157,0.4809,ixplore,0.9,2
0.0895,0.9581,0.1844,0.3057,0.72,0.4738,ixplore,0.9,3
0.0857,0.9606,0.1796,0.307,0.7214,0.476,ixplore,0.9,4
