fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2594,0.8444,0.3326,,,,kernel-pca,0.0,0
0.2623,0.8467,0.3328,0.2784,0.8192,0.3534,kernel-pca,0.3,0
0.2601,0.8484,0.3315,0.2773,0.8154,0.354,kernel-pca,0.3,1
0.2605,0.8458,0.3317,0.2804,0.8121,0.3574,kernel-pca,0.3,2
0.261,0.846,0.3315,0.2796,0.8133,0.3562,kernel-pca,0.3,3
0.2618,0.8446,0.332,0.2819,0.8121,0.3567,kernel-pca,0.3,4
0.2642,0.851,0.3319,0.2878,0.8096,0.3626,kernel-pca,0.6,0
0.2599,0.8549,0.3285,0.2868,0.8071,0.3632,kernel-pca,0.6,1
0.2668,0.8427,0.3337,0.2914,0.804,0.3647,kernel-pca,0.6,2
0.264,0.8498,0.3309,0.2924,0.7994,0.3665,kernel-pca,0.6,3
0.2646,0.8477,0.3316,0.2931,0.7981,0.3671,kernel-pca,0.6,4
0.2618,0.8565,0.33,0.3285,0.7546,0.4097,kernel-pca,0.9,0
0.2494,0.8656,0.3205,0.319,0.758,0.4027,kernel-pca,0.9,1
0.2499,0.8735,0.3169,0.3226,0.7607,0.4025,kernel-pca,0.9,2
0.2488,0.8623,0.3177,0.3244,0.753,0.4062,kernel-pca,0.9,3
0.2467,0.8773,0.3148,0.3187,0.7601,0.4019,kernel-pca,0.9,4
