fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2286,0.86,0.3148,,,,lsirm,0.0,0
0.2279,0.8623,0.3121,0.2511,0.8248,0.3435,lsirm,0.3,0
0.2309,0.8612,0.3137,0.2495,0.8322,0.3405,lsirm,0.3,1
0.2284,0.8619,0.3121,0.2532,0.8245,0.3462,lsirm,0.3,2
0.2299,0.8628,0.3129,0.2532,0.8228,0.3448,lsirm,0.3,3
0.2294,0.8619,0.3135,0.2542,0.8223,0.3455,lsirm,0.3,4
0.2283,0.8649,0.3124,0.2617,0.8108,0.3545,lsirm,0.6,0
0.2328,0.8659,0.3141,0.2627,0.8142,0.3545,lsirm,0.6,1
0.2307,0.8607,0.3146,0.26,0.815,0.3553,lsirm,0.6,2
0.229,0.8636,0.3126,0.2611,0.8103,0.3547,lsirm,0.6,3
0.2318,0.8633,0.3141,0.2627,0.8119,0.3534,lsirm,0.6,4
0.2618,0.7801,0.3615,0.3109,0.7196,0.4145,lsirm,0.9,0
0.2624,0.8199,0.3447,0.3121,0.7441,0.4015,lsirm,0.9,1
0.2659,0.7809,0.3621,0.3196,0.7161,0.4215,lsirm,0.9,2
0.2622,0.7927,0.3526,0.3127,0.7287,0.408,lsirm,0.9,3
0.2721,0.7773,0.3654,0.3126,0.7261,0.4082,lsirm,0.9,4
