fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2519,0.8408,0.3269,,,,pca-linear,0.0,0
0.2709,0.8344,0.3361,0.2822,0.8189,0.348,pca-linear,0.3,0
0.2719,0.8325,0.3365,0.2809,0.8209,0.3462,pca-linear,0.3,1
0.2696,0.8333,0.3348,0.2826,0.8136,0.3494,pca-linear,0.3,2
0.2698,0.8351,0.3348,0.2843,0.8109,0.351,pca-linear,0.3,3
0.2707,0.8342,0.3352,0.2842,0.8138,0.3493,pca-linear,0.3,4
0.2909,0.819,0.3506,0.3058,0.7898,0.3676,pca-linear,0.6,0
0.2939,0.8141,0.3525,0.3053,0.7939,0.3649,pca-linear,0.6,1
0.2924,0.819,0.3503,0.3057,0.7933,0.3657,pca-linear,0.6,2
0.289,0.8239,0.3478,0.3061,0.788,0.3681,pca-linear,0.6,3
0.2921,0.8221,0.3498,0.3074,0.7908,0.3674,pca-linear,0.6,4
0.3111,0.7835,0.3694,0.3329,0.7495,0.3941,pca-linear,0.9,0
0.3047,0.8048,0.3656,0.329,0.7494,0.3943,pca-linear,0.9,1
0.3084,0.8131,0.3681,0.3312,0.7559,0.3935,pca-linear,0.9,2
0.3111,0.8078,0.3688,0.3338,0.741,0.3957,pca-linear,0.9,3
0.3165,0.7942,0.3734,0.334,0.7467,0.394,pca-linear,0.9,4
