fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1975,0.8643,0.3051,,,,pca-logistic,0.0,0
0.192,0.8704,0.3001,0.2206,0.8354,0.3382,pca-logistic,0.3,0
0.1939,0.871,0.3021,0.2171,0.8386,0.3342,pca-logistic,0.3,1
0.1923,0.8713,0.3005,0.2207,0.8303,0.3411,pca-logistic,0.3,2
0.1926,0.8729,0.3002,0.2204,0.8317,0.3393,pca-logistic,0.3,3
0.1927,0.8728,0.3005,0.2222,0.8318,0.3406,pca-logistic,0.3,4
0.1798,0.8889,0.2881,0.2263,0.8253,0.3516,pca-logistic,0.6,0
0.1827,0.8805,0.2916,0.2266,0.8248,0.3507,pca-logistic,0.6,1
0.1833,0.8811,0.2914,0.2264,0.825,0.3522,pca-logistic,0.6,2
0.1804,0.8864,0.2885,0.2284,0.8233,0.3527,pca-logistic,0.6,3
0.1828,0.8864,0.2906,0.2297,0.8203,0.3542,pca-logistic,0.6,4
0.1371,0.9416,0.2298,0.2715,0.7708,0.405,pca-logistic,0.9,0
0.1388,0.9377,0.2336,0.2728,0.7732,0.4035,pca-logistic,0.9,1
0.1378,0.9363,0.2326,0.2738,0.7693,0.4057,pca-logistic,0.9,2
0.1418,0.9354,0.238,0.2736,0.7704,0.4049,pca-logistic,0.9,3
0.1414,0.9339,0.2361,0.2758,0.7659,0.408,pca-logistic,0.9,4
