fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2645,0.8259,0.3425,,,,tsne-logistic,0.0,0
0.2659,0.8258,0.3433,0.2797,0.7951,0.3624,tsne-logistic,0.3,0
0.2648,0.8249,0.3432,0.2756,0.8017,0.358,tsne-logistic,0.3,1
0.2752,0.8163,0.3498,0.2892,0.7879,0.3699,tsne-logistic,0.3,2
0.2684,0.8196,0.3453,0.2821,0.7936,0.3633,tsne-logistic,0.3,3
0.2674,0.8227,0.3443,0.2845,0.7874,0.3663,tsne-logistic,0.3,4
0.2672,0.8263,0.3441,0.291,0.7795,0.3762,tsne-logistic,0.6,0
0.2713,0.8237,0.3463,0.2965,0.7755,0.3796,tsne-logistic,0.6,1
0.2762,0.8113,0.3488,0.2994,0.7719,0.3798,tsne-logistic,0.6,2
0.3233,0.7809,0.3821,0.3453,0.7291,0.4119,tsne-logistic,0.6,3
0.2791,0.8171,0.3503,0.3045,0.7688,0.3841,tsne-logistic,0.6,4
0.2797,0.8218,0.3517,0.3562,0.6855,0.4513,tsne-logistic,0.9,0
0.2618,0.8359,0.3403,0.3353,0.7102,0.4392,tsne-logistic,0.9,1
0.2711,0.8361,0.3443,0.3418,0.7084,0.4404,tsne-logistic,0.9,2
0.2803,0.8119,0.3539,0.3662,0.6759,0.4645,tsne-logistic,0.9,3
0.274,0.8382,0.3445,0.3523,0.6921,0.4496,tsne-logistic,0.9,4
