fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.3012,0.8057,0.3654,,,,umap-logistic,0.0,0
0.2659,0.8213,0.3439,0.2828,0.791,0.3666,umap-logistic,0.3,0
0.2969,0.7938,0.3648,0.3049,0.7725,0.3765,umap-logistic,0.3,1
0.2899,0.8065,0.3598,0.305,0.7744,0.3809,umap-logistic,0.3,2
0.2733,0.8133,0.3506,0.2868,0.7837,0.3707,umap-logistic,0.3,3
0.279,0.8197,0.3514,0.2926,0.7863,0.3705,umap-logistic,0.3,4
0.2763,0.8221,0.3492,0.2977,0.7772,0.3795,umap-logistic,0.6,0
0.2717,0.8231,0.3465,0.2937,0.778,0.3771,umap-logistic,0.6,1
0.288,0.8082,0.3571,0.3086,0.7635,0.387,umap-logistic,0.6,2
0.2811,0.819,0.3527,0.3041,0.7677,0.3857,umap-logistic,0.6,3
0.2839,0.809,0.3549,0.3113,0.7581,0.3907,umap-logistic,0.6,4
0.2599,0.8432,0.3313,0.3422,0.7012,0.4387,umap-logistic,0.9,0
0.2589,0.8595,0.332,0.3406,0.7029,0.4418,umap-logistic,0.9,1
0.2579,0.8475,0.3302,0.3397,0.706,0.4379,umap-logistic,0.9,2
0.2634,0.8458,0.3358,0.3513,0.6892,0.4518,umap-logistic,0.9,3
0.2711,0.8388,0.3413,0.3575,0.6899,0.4531,umap-logistic,0.9,4
