fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2148,0.8678,0.3039,,,,vae-2layer,0.0,0
0.2268,0.8599,0.3097,0.2453,0.8337,0.333,vae-2layer,0.3,0
0.2127,0.8686,0.3031,0.2338,0.8352,0.3315,vae-2layer,0.3,1
0.212,0.8701,0.301,0.2365,0.8331,0.3339,vae-2layer,0.3,2
0.214,0.8706,0.3024,0.2395,0.8317,0.3352,vae-2layer,0.3,3
0.2081,0.8749,0.2977,0.2377,0.8319,0.3355,vae-2layer,0.3,4
0.1961,0.8891,0.2894,0.2418,0.8222,0.3486,vae-2layer,0.6,0
0.2053,0.8744,0.2973,0.245,0.8186,0.3488,vae-2layer,0.6,1
0.2082,0.8783,0.2974,0.2481,0.8199,0.3479,vae-2layer,0.6,2
0.2068,0.8777,0.2952,0.2483,0.8189,0.3467,vae-2layer,0.6,3
0.2035,0.8818,0.2939,0.2475,0.815,0.3498,vae-2layer,0.6,4
0.2009,0.8836,0.2883,0.278,0.7825,0.3843,vae-2layer,0.9,0
0.2112,0.8816,0.2985,0.2869,0.7747,0.3879,vae-2layer,0.9,1
0.1892,0.897,0.2815,0.2743,0.7803,0.3886,vae-2layer,0.9,2
0.2149,0.8792,0.2987,0.2886,0.774,0.3846,vae-2layer,0.9,3
0.2086,0.8808,0.2968,0.2859,0.7723,0.3902,vae-2layer,0.9,4
