fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2087,0.8664,0.3066,,,,vae-logistic,0.0,0
0.2031,0.8711,0.3031,0.2284,0.8335,0.337,vae-logistic,0.3,0
0.2075,0.8669,0.3061,0.2279,0.8367,0.3343,vae-logistic,0.3,1
0.2059,0.8699,0.3033,0.2301,0.8302,0.3366,vae-logistic,0.3,2
0.2109,0.867,0.3074,0.2355,0.83,0.3393,vae-logistic,0.3,3
0.2069,0.8685,0.3047,0.2321,0.8302,0.3371,vae-logistic,0.3,4
0.1947,0.8849,0.2939,0.2357,0.8236,0.3482,vae-logistic,0.6,0
0.2032,0.8751,0.301,0.2404,0.8223,0.3489,vae-logistic,0.6,1
0.1984,0.8797,0.2964,0.238,0.8202,0.3491,vae-logistic,0.6,2
0.2015,0.878,0.2976,0.2404,0.8218,0.3471,vae-logistic,0.6,3
0.2007,0.8774,0.2976,0.2391,0.8178,0.3472,vae-logistic,0.6,4
0.1821,0.9157,0.2662,0.2948,0.7529,0.4081,vae-logistic,0.9,0
0.1321,0.9447,0.2317,0.2756,0.7619,0.4172,vae-logistic,0.9,1
0.1453,0.9396,0.2394,0.2772,0.766,0.4117,vae-logistic,0.9,2
0.1648,0.9266,0.2574,0.2941,0.7476,0.4147,vae-logistic,0.9,3
0.1887,0.8994,0.275,0.3043,0.7408,0.4162,vae-logistic,0.9,4
