fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2094,0.8062,0.2878,,,,emirt,0.0,0
0.2091,0.809,0.2876,0.2153,0.7966,0.2955,emirt,0.3,0
0.2089,0.8079,0.287,0.2146,0.7977,0.2954,emirt,0.3,1
0.2085,0.808,0.2872,0.2148,0.7962,0.295,emirt,0.3,2
0.2088,0.8085,0.2872,0.2142,0.7989,0.2943,emirt,0.3,3
0.2086,0.8076,0.287,0.215,0.7996,0.2959,emirt,0.3,4
0.207,0.8121,0.2855,0.2181,0.7934,0.2997,emirt,0.6,0
0.2082,0.809,0.2863,0.2171,0.7955,0.299,emirt,0.6,1
0.2059,0.8104,0.2845,0.2173,0.7935,0.2995,emirt,0.6,2
0.2083,0.8115,0.2866,0.2172,0.7962,0.298,emirt,0.6,3
0.2065,0.8114,0.2846,0.2177,0.7934,0.2997,emirt,0.6,4
0.1951,0.8371,0.2726,0.2375,0.7641,0.3315,emirt,0.9,0
0.1993,0.8296,0.2738,0.2403,0.7608,0.3295,emirt,0.9,1
0.1968,0.8388,0.2708,0.2397,0.7619,0.3282,emirt,0.9,2
0.2004,0.8296,0.2755,0.2367,0.7647,0.3232,emirt,0.9,3
0.1973,0.8358,0.2717,0.237,0.7644,0.3252,emirt,0.9,4
