fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1857,0.8389,0.2686,,,,ixplore-binarised,0.0,0
0.1855,0.8431,0.2687,0.1955,0.8202,0.2839,ixplore-binarised,0.3,0
0.1851,0.8421,0.2681,0.1966,0.8209,0.2854,ixplore-binarised,0.3,1
0.1841,0.8415,0.2674,0.1961,0.8217,0.2853,ixplore-binarised,0.3,2
0.1842,0.8424,0.2676,0.1952,0.8232,0.2838,ixplore-binarised,0.3,3
0.1841,0.8419,0.2675,0.1977,0.8179,0.2876,ixplore-binarised,0.3,4
0.1827,0.8527,0.2663,0.2056,0.8112,0.3002,ixplore-binarised,0.6,0
0.1831,0.8482,0.2668,0.2035,0.8146,0.2976,ixplore-binarised,0.6,1
0.1809,0.8507,0.2647,0.2041,0.8122,0.2992,ixplore-binarised,0.6,2
0.1831,0.8505,0.2669,0.2035,0.8133,0.2976,ixplore-binarised,0.6,3
0.1813,0.8523,0.265,0.2043,0.8109,0.2993,ixplore-binarised,0.6,4
0.1606,0.9102,0.2443,0.2561,0.7609,0.3845,ixplore-binarised,0.9,0
0.1627,0.9112,0.246,0.2624,0.7535,0.3902,ixplore-binarised,0.9,1
0.1629,0.9065,0.2459,0.2589,0.7578,0.3868,ixplore-binarised,0.9,2
0.166,0.8985,0.2507,0.2528,0.7621,0.379,ixplore-binarised,0.9,3
0.1613,0.9041,0.2447,0.2533,0.7618,0.3794,ixplore-binarised,0.9,4
