fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1879,0.8428,0.2643,,,,lsirm,0.0,0
0.1894,0.8451,0.2633,0.2036,0.8168,0.2833,lsirm,0.3,0
0.1893,0.8446,0.2635,0.2035,0.8155,0.2834,lsirm,0.3,1
0.1884,0.8463,0.2625,0.2049,0.8153,0.2856,lsirm,0.3,2
0.1898,0.8452,0.264,0.204,0.8174,0.2834,lsirm,0.3,3
0.1877,0.846,0.2621,0.2049,0.8145,0.2862,lsirm,0.3,4
0.1904,0.8495,0.2616,0.2125,0.8057,0.2914,lsirm,0.6,0
0.1917,0.8474,0.2618,0.2119,0.8069,0.2903,lsirm,0.6,1
0.1897,0.8489,0.2602,0.2146,0.8025,0.2937,lsirm,0.6,2
0.1908,0.848,0.2621,0.2129,0.8047,0.2917,lsirm,0.6,3
0.1885,0.8516,0.2594,0.2137,0.8034,0.2941,lsirm,0.6,4
0.2229,0.8021,0.2945,0.2612,0.7354,0.3431,lsirm,0.9,0
0.2221,0.8107,0.295,0.2621,0.7391,0.3452,lsirm,0.9,1
0.2255,0.7962,0.3004,0.2654,0.7294,0.3499,lsirm,0.9,2
0.2314,0.7871,0.3067,0.2647,0.7298,0.3483,lsirm,0.9,3
0.239,0.7711,0.316,0.2715,0.72,0.3558,lsirm,0.9,4
