fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1951,0.8267,0.2759,,,,tsne-logistic,0.0,0
0.1944,0.8258,0.2757,0.2027,0.8108,0.2861,tsne-logistic,0.3,0
0.2106,0.809,0.2892,0.2153,0.799,0.2963,tsne-logistic,0.3,1
0.2099,0.8092,0.2887,0.2161,0.7969,0.2965,tsne-logistic,0.3,2
0.1998,0.8198,0.28,0.2076,0.8072,0.2894,tsne-logistic,0.3,3
0.1971,0.8196,0.2785,0.2063,0.8053,0.2901,tsne-logistic,0.3,4
0.2021,0.8211,0.2822,0.2169,0.7944,0.3003,tsne-logistic,0.6,0
0.2048,0.8162,0.2845,0.2145,0.7979,0.2976,tsne-logistic,0.6,1
0.2027,0.8159,0.2825,0.2175,0.7933,0.3021,tsne-logistic,0.6,2
0.2024,0.8196,0.2829,0.2157,0.7947,0.2993,tsne-logistic,0.6,3
0.1965,0.8254,0.2771,0.2141,0.7947,0.2995,tsne-logistic,0.6,4
0.2542,0.7626,0.3231,0.295,0.6915,0.3783,tsne-logistic,0.9,0
0.2305,0.7977,0.3037,0.2707,0.7206,0.3578,tsne-logistic,0.9,1
0.245,0.7822,0.3179,0.286,0.7004,0.3712,tsne-logistic,0.9,2
0.2774,0.7418,0.3419,0.3098,0.6701,0.3859,tsne-logistic,0.9,3
0.2533,0.7648,0.3234,0.2938,0.6926,0.3756,tsne-logistic,0.9,4
