fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1856,0.8311,0.2678,,,,ideal,0.0,0
0.1855,0.833,0.2672,0.1917,0.8196,0.2782,ideal,0.3,0
0.1852,0.8333,0.2657,0.1959,0.8173,0.2809,ideal,0.3,1
0.1846,0.8329,0.2666,0.1928,0.8181,0.2791,ideal,0.3,2
0.1841,0.8337,0.2661,0.1937,0.8179,0.2817,ideal,0.3,3
0.1851,0.8324,0.267,0.1937,0.8162,0.2791,ideal,0.3,4
0.1833,0.8392,0.2637,0.1987,0.8121,0.2862,ideal,0.6,0
0.1817,0.841,0.2626,0.2011,0.8098,0.2912,ideal,0.6,1
0.1823,0.8408,0.262,0.2002,0.8088,0.2882,ideal,0.6,2
0.1815,0.8412,0.2628,0.1997,0.8108,0.2896,ideal,0.6,3
0.1835,0.8371,0.2638,0.2006,0.8085,0.2885,ideal,0.6,4
0.1635,0.8842,0.2445,0.2333,0.7767,0.3469,ideal,0.9,0
0.1652,0.8803,0.244,0.2358,0.7724,0.3482,ideal,0.9,1
0.1689,0.8764,0.2485,0.2345,0.7749,0.3467,ideal,0.9,2
0.1671,0.8824,0.2458,0.2325,0.7776,0.3434,ideal,0.9,3
0.1692,0.8805,0.2478,0.2423,0.769,0.3549,ideal,0.9,4
