fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1805,0.8358,0.2534,,,,ixplore,0.0,0
0.1793,0.8365,0.252,0.1858,0.8281,0.2626,ixplore,0.3,0
0.1784,0.8378,0.251,0.1886,0.824,0.2656,ixplore,0.3,1
0.1789,0.8384,0.2518,0.1866,0.8252,0.2633,ixplore,0.3,2
0.1784,0.8398,0.2511,0.1872,0.8234,0.2656,ixplore,0.3,3
0.1788,0.8382,0.2518,0.1875,0.825,0.264,ixplore,0.3,4
0.1745,0.8438,0.2471,0.1904,0.8181,0.27,ixplore,0.6,0
0.1733,0.8442,0.2454,0.1914,0.8188,0.2716,ixplore,0.6,1
0.1722,0.8479,0.2449,0.1913,0.8165,0.2722,ixplore,0.6,2
0.1734,0.8469,0.2457,0.1904,0.8203,0.2715,ixplore,0.6,3
0.174,0.8428,0.2463,0.1918,0.8176,0.272,ixplore,0.6,4
0.1419,0.8875,0.2099,0.2223,0.7761,0.3223,ixplore,0.9,0
0.1391,0.8907,0.2061,0.2252,0.7701,0.3297,ixplore,0.9,1
0.1429,0.8855,0.2112,0.2225,0.7734,0.3256,ixplore,0.9,2
0.1389,0.8916,0.2062,0.216,0.7863,0.3171,ixplore,0.9,3
0.1434,0.8857,0.2106,0.229,0.7661,0.3315,ixplore,0.9,4
