fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1975,0.8426,0.2756,,,,kernel-pca,0.0,0
0.1982,0.8425,0.276,0.206,0.829,0.2871,kernel-pca,0.3,0
0.198,0.8422,0.2753,0.2077,0.8274,0.2896,kernel-pca,0.3,1
0.1974,0.8425,0.2754,0.206,0.828,0.287,kernel-pca,0.3,2
0.1978,0.8438,0.2757,0.209,0.824,0.2911,kernel-pca,0.3,3
0.1978,0.8419,0.2755,0.2058,0.8262,0.2877,kernel-pca,0.3,4
0.1979,0.8441,0.2748,0.2137,0.8173,0.2962,kernel-pca,0.6,0
0.197,0.8457,0.2742,0.2158,0.8159,0.3,kernel-pca,0.6,1
0.1932,0.8483,0.2699,0.2124,0.819,0.2973,kernel-pca,0.6,2
0.1965,0.8471,0.2731,0.2165,0.815,0.3003,kernel-pca,0.6,3
0.1965,0.8432,0.2731,0.2134,0.8165,0.2963,kernel-pca,0.6,4
0.1894,0.8575,0.2608,0.2465,0.7697,0.3358,kernel-pca,0.9,0
0.1913,0.8532,0.261,0.247,0.7706,0.3375,kernel-pca,0.9,1
0.1919,0.8585,0.2623,0.2462,0.7722,0.3368,kernel-pca,0.9,2
0.183,0.8689,0.2533,0.247,0.7703,0.3381,kernel-pca,0.9,3
0.1943,0.8557,0.2639,0.2538,0.7643,0.3436,kernel-pca,0.9,4
