fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1915,0.8335,0.2587,,,,pca-linear,0.0,0
0.2221,0.829,0.2726,0.2292,0.8215,0.2803,pca-linear,0.3,0
0.2207,0.8325,0.2715,0.232,0.8174,0.2833,pca-linear,0.3,1
0.2215,0.8325,0.2725,0.2293,0.8181,0.2803,pca-linear,0.3,2
0.2215,0.8325,0.2721,0.2303,0.8183,0.2818,pca-linear,0.3,3
0.2215,0.8318,0.2724,0.2306,0.8185,0.2811,pca-linear,0.3,4
0.2631,0.8094,0.3049,0.2728,0.7848,0.3153,pca-linear,0.6,0
0.2598,0.8074,0.3023,0.2733,0.7796,0.317,pca-linear,0.6,1
0.2618,0.8092,0.3035,0.2722,0.7831,0.315,pca-linear,0.6,2
0.2615,0.8115,0.3034,0.2717,0.7845,0.3152,pca-linear,0.6,3
0.2622,0.8055,0.3041,0.2732,0.7855,0.3159,pca-linear,0.6,4
0.3056,0.7413,0.3495,0.3188,0.695,0.3646,pca-linear,0.9,0
0.3039,0.7262,0.3476,0.32,0.6828,0.366,pca-linear,0.9,1
0.3067,0.7365,0.3501,0.3201,0.6921,0.3652,pca-linear,0.9,2
0.2993,0.7455,0.3445,0.3174,0.6935,0.365,pca-linear,0.9,3
0.3045,0.7291,0.3476,0.3206,0.6843,0.3653,pca-linear,0.9,4
