fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1846,0.8378,0.2686,,,,pca-logistic,0.0,0
0.1834,0.8389,0.2673,0.1909,0.8301,0.2782,pca-logistic,0.3,0
0.1824,0.84,0.2664,0.1935,0.8264,0.2814,pca-logistic,0.3,1
0.1828,0.8412,0.2671,0.1925,0.8255,0.2803,pca-logistic,0.3,2
0.1826,0.8416,0.2668,0.1924,0.8257,0.2819,pca-logistic,0.3,3
0.183,0.8397,0.2671,0.1911,0.8279,0.2788,pca-logistic,0.3,4
0.1792,0.8457,0.2632,0.1964,0.8196,0.2869,pca-logistic,0.6,0
0.1782,0.8477,0.2619,0.1976,0.8202,0.2893,pca-logistic,0.6,1
0.1767,0.8492,0.2614,0.1977,0.8177,0.2903,pca-logistic,0.6,2
0.1775,0.8496,0.2615,0.1971,0.8208,0.2896,pca-logistic,0.6,3
0.1787,0.8458,0.2625,0.1968,0.8197,0.2883,pca-logistic,0.6,4
0.1555,0.8795,0.2367,0.2246,0.7835,0.3293,pca-logistic,0.9,0
0.1553,0.8776,0.2355,0.2297,0.7762,0.3348,pca-logistic,0.9,1
0.1549,0.8788,0.2361,0.2258,0.7816,0.3323,pca-logistic,0.9,2
0.1524,0.8831,0.2326,0.2242,0.7872,0.3305,pca-logistic,0.9,3
0.1568,0.8815,0.2354,0.2348,0.7711,0.3415,pca-logistic,0.9,4
