fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2103,0.8095,0.2888,,,,umap-logistic,0.0,0
0.1948,0.8222,0.2763,0.2001,0.8153,0.2831,umap-logistic,0.3,0
0.1948,0.823,0.2766,0.203,0.8104,0.2867,umap-logistic,0.3,1
0.2026,0.8148,0.2844,0.2063,0.8065,0.2884,umap-logistic,0.3,2
0.1931,0.8259,0.2752,0.2009,0.8105,0.2858,umap-logistic,0.3,3
0.1968,0.8204,0.2782,0.2031,0.8104,0.2867,umap-logistic,0.3,4
0.1993,0.8232,0.2803,0.2138,0.7973,0.2977,umap-logistic,0.6,0
0.1988,0.819,0.2797,0.2156,0.7969,0.3008,umap-logistic,0.6,1
0.2002,0.821,0.2813,0.2147,0.7953,0.2997,umap-logistic,0.6,2
0.1994,0.8219,0.2802,0.2151,0.7979,0.3006,umap-logistic,0.6,3
0.1992,0.818,0.2795,0.2141,0.7941,0.2985,umap-logistic,0.6,4
0.2319,0.7944,0.3052,0.2797,0.7168,0.3657,umap-logistic,0.9,0
0.2324,0.7938,0.3038,0.2801,0.7153,0.3635,umap-logistic,0.9,1
0.2412,0.7943,0.3113,0.2846,0.7112,0.3681,umap-logistic,0.9,2
0.2376,0.7973,0.3076,0.2774,0.7241,0.3608,umap-logistic,0.9,3
0.2346,0.791,0.3047,0.2823,0.7146,0.3666,umap-logistic,0.9,4
