fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1869,0.8456,0.2505,,,,vae-2layer,0.0,0
0.1818,0.8478,0.248,0.1877,0.8381,0.2558,vae-2layer,0.3,0
0.1875,0.8447,0.2508,0.1969,0.8367,0.2616,vae-2layer,0.3,1
0.183,0.8471,0.2488,0.1898,0.8345,0.2569,vae-2layer,0.3,2
0.183,0.8473,0.2488,0.1901,0.8336,0.2589,vae-2layer,0.3,3
0.1814,0.8492,0.2472,0.1892,0.8398,0.2564,vae-2layer,0.3,4
0.1831,0.8499,0.2488,0.1962,0.8274,0.2644,vae-2layer,0.6,0
0.1819,0.8483,0.2472,0.198,0.8268,0.2674,vae-2layer,0.6,1
0.1834,0.8499,0.2482,0.1991,0.8234,0.2681,vae-2layer,0.6,2
0.1824,0.8511,0.2469,0.1975,0.8235,0.2669,vae-2layer,0.6,3
0.1843,0.8455,0.2494,0.1994,0.8256,0.2677,vae-2layer,0.6,4
0.191,0.8416,0.26,0.2309,0.7819,0.3079,vae-2layer,0.9,0
0.1931,0.8365,0.2605,0.2329,0.7804,0.3083,vae-2layer,0.9,1
0.1959,0.8386,0.2636,0.231,0.783,0.3066,vae-2layer,0.9,2
0.1892,0.8415,0.2559,0.2303,0.7829,0.3063,vae-2layer,0.9,3
0.1911,0.8406,0.2584,0.234,0.7759,0.3095,vae-2layer,0.9,4
