fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1795,0.8402,0.2524,,,,vae-logistic,0.0,0
0.179,0.8408,0.252,0.1874,0.8284,0.2638,vae-logistic,0.3,0
0.179,0.84,0.2514,0.1911,0.8234,0.267,vae-logistic,0.3,1
0.1797,0.8399,0.2524,0.1891,0.8249,0.2652,vae-logistic,0.3,2
0.178,0.843,0.2511,0.1884,0.8228,0.2665,vae-logistic,0.3,3
0.1794,0.8414,0.2522,0.1892,0.8249,0.2648,vae-logistic,0.3,4
0.1799,0.848,0.2511,0.1977,0.8161,0.2736,vae-logistic,0.6,0
0.1777,0.8458,0.2487,0.1976,0.8156,0.2747,vae-logistic,0.6,1
0.1778,0.8472,0.2489,0.1975,0.8158,0.2748,vae-logistic,0.6,2
0.1769,0.8473,0.249,0.1958,0.8181,0.2744,vae-logistic,0.6,3
0.179,0.8432,0.2504,0.1976,0.8148,0.2748,vae-logistic,0.6,4
0.1604,0.8771,0.2307,0.2384,0.7642,0.3316,vae-logistic,0.9,0
0.1619,0.8732,0.233,0.2365,0.7643,0.3277,vae-logistic,0.9,1
0.1655,0.8714,0.2342,0.2339,0.7683,0.3251,vae-logistic,0.9,2
0.1614,0.8761,0.2301,0.2341,0.7693,0.3236,vae-logistic,0.9,3
0.1674,0.8671,0.2357,0.2432,0.756,0.3323,vae-logistic,0.9,4
