candidateId,x,y
9,0.003,0.600
16,-0.084,-0.154
25,0.018,0.078
30,0.824,-0.179
31,0.656,-0.021
33,0.102,0.111
41,0.279,0.391
42,0.202,0.052
44,-0.738,0.002
49,0.393,0.389
58,0.299,0.080
59,0.272,0.410
67,0.766,0.223
68,0.767,-0.215
74,-0.796,-0.136
76,0.435,-0.397
95,0.002,-0.024
104,-0.324,-0.228
106,0.726,-0.223
109,-0.309,0.292
111,0.402,0.599
114,0.323,0.359
117,0.090,-0.104
119,0.773,-0.064
120,-0.301,-0.169
122,-0.258,-0.190
123,0.727,-0.301
124,0.061,0.361
128,-0.544,-0.136
132,-0.347,-0.043
133,0.536,0.018
134,0.294,0.254
145,0.373,0.625
148,0.528,-0.213
160,0.133,-0.081
171,-0.639,-0.011
172,-0.425,-0.305
174,-0.267,-0.216
179,0.103,0.103
182,0.702,-0.218
185,0.024,-0.016
187,-0.100,-0.164
188,0.116,0.110
189,0.123,0.115
195,0.538,-0.120
206,0.575,-0.123
211,0.200,0.121
214,0.576,0.065
216,0.174,-0.042
217,0.673,-0.029
221,0.681,-0.205
238,0.019,-0.084
252,-0.163,0.231
253,0.041,0.093
257,0.493,-0.241
264,0.046,-0.139
271,-0.255,-0.079
277,-0.238,-0.016
285,-0.155,-0.250
292,-0.206,0.091
295,0.503,0.094
297,0.830,-0.196
299,0.722,-0.025
301,0.157,0.131
308,-0.482,-0.075
313,0.477,-0.061
325,0.076,0.087
331,0.327,0.522
336,0.078,0.092
339,-0.044,0.277
340,-0.029,0.332
341,-0.771,0.200
342,0.502,0.376
346,0.121,-0.137
357,0.405,0.497
368,-0.466,-0.240
374,-0.138,0.458
386,0.189,0.025
388,0.063,0.158
389,0.208,0.229
391,0.272,-0.095
392,0.847,-0.335
395,-0.267,-0.202
398,0.018,-0.090
404,0.785,-0.148
406,0.168,0.058
409,0.352,0.479
411,0.638,0.121
433,-0.428,-0.103
440,0.520,-0.025
449,0.124,0.231
450,0.496,-0.327
