,beta1,beta2,alpha
32214,-2.626,6.796,-0.432
32215,6.797,-3.863,0.492
32216,0.580,-1.556,1.078
32217,-3.442,8.787,-0.377
32218,8.456,-1.723,0.443
32219,9.063,-7.295,0.211
32220,2.118,-0.095,-1.299
32221,2.423,-0.661,-0.828
32222,-3.770,4.574,-0.598
32223,-4.092,-2.062,-0.216
32224,2.435,1.249,-0.522
32225,3.079,-1.009,0.014
32226,-3.017,0.476,0.000
32227,4.203,-1.239,1.284
32228,7.688,2.278,-1.493
32229,2.460,1.881,0.479
32230,-6.569,-0.268,-0.462
32231,7.134,0.779,-0.770
32232,2.147,1.946,0.619
32233,1.120,2.282,0.382
32234,6.869,1.764,-1.373
32235,3.002,4.308,1.232
32236,-6.059,1.390,0.044
32237,1.229,1.494,0.921
32238,7.993,-4.142,-0.347
32239,5.048,-2.645,0.009
32240,8.377,-7.790,-0.321
32241,6.014,-3.970,1.387
32242,-3.826,4.620,0.356
32243,-3.295,5.196,0.766
32244,7.426,-3.558,0.445
32245,-7.005,1.109,0.577
32246,8.297,0.168,-0.941
32247,-5.845,2.820,0.786
32248,0.387,4.322,-0.036
32249,-8.902,1.364,-0.242
32250,2.712,-2.328,1.324
32251,2.406,0.493,-0.605
32252,-3.024,0.341,-0.334
32253,5.141,0.086,-0.007
32254,4.886,-1.309,0.585
32255,6.641,-1.166,0.423
32256,5.387,-2.276,0.585
32257,6.809,-2.654,1.422
32258,0.390,4.967,1.079
32259,3.960,3.222,0.341
32260,5.790,-2.133,0.946
32261,-7.107,-2.233,0.396
32262,8.597,2.890,-1.548
32263,-1.812,0.336,0.341
32264,-5.371,0.564,0.297
32265,1.245,9.026,-0.678
32266,2.451,8.528,-0.366
32267,1.771,-1.122,1.007
32268,-6.884,-6.962,-1.624
32269,5.046,5.634,-0.154
32270,-3.365,6.005,0.216
32271,9.685,-4.406,1.316
32272,-6.456,-6.115,-1.475
32273,-6.837,-9.062,-0.347
32274,-1.146,1.114,-0.192
32275,-4.833,4.420,0.657
32276,5.404,-2.284,-0.077
32277,-2.732,-2.721,-0.633
32278,-0.215,2.532,0.712
32279,-3.294,-0.004,-0.380
32280,5.181,-1.973,0.510
32281,3.651,-2.037,0.036
32282,1.998,-0.429,0.925
32283,0.237,-2.222,-0.130
32284,2.752,-1.189,0.598
32285,-2.439,0.409,-0.416
32286,-1.154,0.279,0.230
32287,-2.918,1.167,0.150
32288,3.601,-0.642,-0.120
