candidateId,x,y
9,-0.056,0.446
16,-0.005,-0.195
25,0.056,0.118
30,0.743,-0.083
31,0.746,0.141
33,0.127,0.118
41,0.244,0.465
42,0.260,0.110
44,-0.630,0.002
49,0.354,0.439
58,0.299,0.073
59,0.263,0.547
67,0.554,0.195
68,0.733,-0.105
74,-0.610,-0.054
76,0.762,-0.341
95,0.065,-0.045
104,-0.202,-0.110
106,0.847,0.009
109,-0.658,0.600
111,0.308,0.541
114,0.281,0.377
117,0.176,-0.169
119,0.696,0.055
120,-0.189,-0.137
122,-0.134,-0.141
123,0.706,-0.140
124,0.042,0.288
128,-0.755,-0.611
132,-0.275,-0.011
133,0.603,0.139
134,0.282,0.276
145,0.269,0.535
148,0.593,-0.113
160,0.181,-0.033
171,-0.479,0.010
172,-0.279,-0.202
174,-0.155,-0.157
179,0.124,0.110
182,0.705,-0.159
185,0.084,-0.008
187,-0.001,-0.146
188,0.149,0.140
189,0.134,0.100
195,0.751,0.030
206,0.546,-0.044
211,0.206,0.107
214,0.522,0.113
216,0.251,-0.038
217,0.708,0.120
221,0.763,0.005
238,0.082,-0.059
252,-0.192,0.340
253,0.069,0.090
257,0.614,-0.138
264,0.111,-0.056
271,-0.208,-0.261
277,-0.190,-0.007
285,-0.059,-0.273
292,-0.181,0.142
295,0.474,0.135
297,0.743,-0.038
299,0.778,0.144
301,0.165,0.142
308,-0.500,-0.130
313,0.468,-0.012
325,0.101,0.077
331,0.241,0.474
336,0.099,0.099
339,-0.081,0.560
340,-0.017,0.214
341,-0.717,0.186
342,0.458,0.450
346,0.174,-0.054
357,0.308,0.361
368,-0.324,-0.155
374,-0.162,0.381
386,0.207,0.033
388,0.075,0.155
389,0.198,0.194
391,0.323,-0.091
392,0.816,-0.097
395,-0.205,-0.269
398,0.087,-0.078
404,0.892,0.085
406,0.185,0.060
409,0.300,0.510
411,0.737,0.308
433,-0.314,-0.034
440,0.563,0.052
449,0.117,0.217
450,0.623,-0.193
458,0.901,0.098
466,0.011,0.359
469,-0.245,-0.053
480,0.102,0.200
492,0.698,0.025
506,0.104,-0.029
520,0.786,-0.154
521,0.095,-0.103
525,-0.221,0.245
535,0.671,0.144
536,0.593,0.137
539,0.113,-0.142
545,0.265,-0.176
557,-0.034,-0.010
558,0.648,0.047
563,0.418,0.126
571,0.813,0.000
572,0.827,-0.166
576,0.165,0.150
596,-0.495,-0.020
598,0.408,0.104
605,0.490,0.189
614,0.197,0.089
616,0.077,0.226
617,0.074,0.160
625,0.654,0.108
628,0.168,0.170
636,0.098,0.430
637,0.086,0.127
639,0.457,-0.084
650,0.077,0.137
668,0.495,0.065
670,-0.237,-0.009
672,0.502,-0.129
674,0.591,-0.019
686,0.260,0.313
690,-0.401,0.020
699,-0.029,0.354
701,-0.042,0.301
702,0.223,0.272
707,0.566,-0.342
712,0.180,0.146
715,-0.269,0.183
716,-0.717,-0.701
731,0.892,0.073
734,0.415,-0.184
741,0.099,0.066
749,0.160,0.286
756,0.564,0.137
760,0.675,0.194
776,0.636,-0.070
780,-0.034,0.344
786,0.132,0.138
795,0.231,0.365
798,0.304,-0.177
806,0.532,-0.067
810,0.617,0.065
813,0.601,-0.003
814,0.111,0.160
823,0.045,-0.007
825,-0.017,-0.137
834,0.117,0.039
835,0.181,-0.122
838,0.001,-0.106
841,0.455,0.002
846,-0.493,-0.245
847,0.084,0.309
848,0.859,0.066
857,0.192,0.294
863,0.329,0.520
873,0.211,0.467
875,0.229,0.478
876,0.829,-0.232
880,0.135,0.005
882,-0.065,-0.215
889,0.172,0.036
900,0.068,0.160
905,-0.395,-0.123
911,0.160,0.276
912,-0.578,-0.039
914,-0.242,0.371
915,-0.078,-0.170
918,0.842,0.219
930,-0.177,0.389
939,0.531,0.224
950,0.443,0.226
957,-0.799,0.258
969,0.629,-0.346
981,0.358,0.473
983,-0.546,-0.053
990,0.136,0.242
991,0.119,0.355
1007,-0.313,-0.278
1012,-0.230,0.405
1018,0.519,-0.073
1020,-0.211,-0.095
1021,0.317,0.057
1026,0.374,0.126
1048,-0.241,-0.122
1067,0.687,-0.099
1071,-0.234,-0.294
1072,-0.091,0.050
1077,0.127,0.264
1094,-0.052,0.060
1098,0.252,0.153
1103,0.432,-0.051
1113,0.884,-0.219
1117,0.482,0.104
1138,0.752,-0.034
1145,0.765,0.216
1150,0.241,-0.086
1156,-0.383,0.068
1164,0.513,0.100
1172,0.835,-0.094
1174,0.121,0.512
1176,0.183,0.223
1178,-0.301,-0.118
1183,0.547,0.067
1196,0.511,0.041
1204,-0.388,0.117
1214,-0.187,-0.363
1231,-0.090,0.244
1232,0.291,-0.012
1240,0.764,-0.100
1242,0.316,0.171
1249,0.112,0.044
1251,0.157,0.221
1265,0.814,0.196
1266,0.764,0.036
1268,0.305,-0.064
1273,0.236,0.032
1282,0.534,0.536
1290,0.245,0.179
1293,0.410,0.139
1297,-0.260,0.442
1306,0.233,-0.210
1316,0.337,0.178
1328,-0.805,-0.691
1331,0.080,0.109
1334,0.792,0.041
1349,-0.473,-0.086
1359,0.120,0.219
1368,0.288,0.431
1373,0.089,-0.023
1374,0.113,0.121
1382,0.253,0.056
1391,0.052,0.256
1395,0.702,-0.011
1396,0.027,-0.298
1430,0.883,0.059
1433,0.119,0.208
1442,0.275,0.383
1453,0.265,0.292
1456,0.643,-0.022
1458,-0.724,-0.030
1464,-0.106,-0.057
1466,0.112,0.140
1471,0.746,-0.121
1480,0.745,-0.067
1497,-0.308,0.006
1502,-0.549,-0.153
1505,0.298,0.198
1531,0.220,0.121
1533,-0.193,0.360
1538,0.430,0.443
1553,0.077,0.140
1561,-0.488,0.437
1564,-0.111,-0.259
1569,-0.460,0.032
1574,-0.026,0.015
1575,0.805,0.061
1577,-0.082,-0.343
1585,-0.480,-0.005
1592,0.200,0.083
1596,-0.261,-0.013
1610,-0.177,0.186
1611,0.357,0.349
1612,0.236,0.483
1651,-0.643,-0.023
1659,0.058,-0.146
1665,-0.600,-0.032
1666,0.286,0.462
1670,0.041,-0.035
1682,0.601,-0.093
1694,0.441,0.208
1702,-0.147,-0.291
1706,0.109,-0.080
1728,0.198,0.272
1733,0.266,0.501
1740,-0.034,0.047
1750,0.700,-0.041
1754,0.667,0.246
1755,0.893,0.087
1760,-0.184,-0.185
1761,-0.107,-0.102
1769,-0.217,0.264
1770,-0.203,0.403
1783,0.670,0.113
1786,0.187,0.124
1787,0.416,0.066
1788,-0.226,-0.076
1791,-0.281,-0.088
1822,0.100,0.397
1838,0.144,-0.049
1840,-0.746,-0.766
1845,0.675,0.200
1856,0.721,0.065
1868,-0.170,0.410
1871,0.409,0.064
1883,-0.464,-0.018
1885,0.432,0.037
1893,0.423,0.149
1898,0.649,0.142
1904,-0.513,0.072
1906,-0.331,-0.297
1918,0.073,0.198
1919,0.349,0.522
1926,0.676,0.127
1927,0.175,0.482
1928,-0.118,-0.322
1929,-0.003,0.136
1932,0.242,0.398
1941,0.397,-0.046
1942,0.322,0.061
1946,-0.284,-0.213
1947,-0.695,0.418
1948,0.333,0.067
1955,0.070,0.134
1964,-0.318,-0.053
1980,-0.767,-0.770
1982,0.079,0.354
1994,-0.562,-0.089
2009,-0.344,-0.115
2010,0.776,-0.074
2011,-0.297,-0.033
2019,0.646,0.188
2044,0.628,0.231
2046,0.690,-0.270
2048,0.492,0.087
2050,0.172,0.109
2055,0.199,0.022
2057,-0.790,-0.703
2058,0.163,0.265
2060,0.207,0.057
2061,-0.030,-0.124
2062,0.378,0.606
2071,0.088,0.324
2072,0.451,-0.098
2078,0.273,0.037
2081,0.862,0.000
2089,0.769,-0.155
2096,0.005,0.026
2097,0.049,0.184
2106,-0.236,0.415
2111,0.020,0.225
2112,0.233,0.480
2129,0.127,0.085
2132,0.514,-0.112
2150,-0.076,-0.094
2160,0.550,-0.227
2166,0.628,-0.301
2172,0.458,-0.103
2174,-0.517,0.395
2177,0.598,0.191
2187,0.160,0.006
2189,0.227,0.499
2201,0.304,0.547
2217,-0.037,0.077
2219,0.410,0.053
2232,0.307,0.600
2236,0.221,0.109
2241,0.126,0.080
2245,-0.506,0.003
2246,0.615,-0.013
2253,0.634,0.097
2260,-0.547,-0.039
2263,0.049,0.084
2270,0.320,0.033
2273,-0.403,0.053
2274,0.659,0.153
2278,0.620,0.006
2281,0.237,0.432
2289,0.090,-0.082
2293,0.508,-0.043
2294,-0.531,-0.302
2298,0.505,0.034
2312,-0.398,-0.110
2316,0.068,0.501
2320,0.417,0.191
2322,0.039,-0.085
2324,0.010,-0.481
2331,0.319,0.503
2334,-0.387,-0.130
2338,-0.217,0.055
2339,0.269,0.062
2341,0.663,-0.077
2346,0.605,-0.203
2355,0.782,0.057
2367,0.419,0.257
2371,0.351,0.377
2378,0.060,0.134
2379,0.099,0.195
2384,-0.611,-0.016
2408,-0.251,-0.182
2412,0.086,-0.300
2420,0.301,-0.064
2421,0.116,0.337
2423,0.002,0.136
2432,0.042,0.124
2433,-0.068,0.073
2439,-0.864,0.175
2446,0.788,0.019
2447,0.244,0.079
2465,0.290,0.320
2468,0.272,0.066
2475,0.103,0.108
2477,0.072,-0.040
2481,0.745,-0.117
2482,-0.181,0.275
2494,0.280,0.513
2498,0.292,0.271
2499,-0.099,-0.188
2505,0.132,0.202
2536,-0.545,0.138
2547,-0.215,0.300
2548,0.342,0.429
2551,0.073,0.135
2553,0.356,0.403
2561,-0.425,0.512
2566,-0.351,-0.188
2568,0.291,0.488
2570,-0.206,-0.301
2582,0.023,-0.225
2586,-0.114,0.108
2593,0.577,-0.009
2596,-0.613,0.079
2601,0.335,0.182
2602,-0.582,0.407
2605,0.506,-0.099
2609,-0.241,0.402
2612,0.070,-0.111
2620,0.192,0.082
2623,-0.596,-0.109
2630,0.323,0.592
2633,0.164,0.447
2640,0.260,0.085
2644,0.861,0.133
2650,0.657,0.023
2654,0.319,0.408
2656,-0.055,0.351
2661,0.839,0.035
2664,0.208,0.377
2665,0.313,0.206
2668,0.441,0.090
2678,0.560,0.049
2682,0.685,-0.032
2693,-0.267,0.393
2695,0.699,0.060
2696,-0.544,-0.056
2707,-0.361,-0.064
2709,0.167,0.167
2710,0.084,0.069
2715,0.487,-0.097
2731,-0.698,0.006
2740,-0.028,-0.111
2744,-0.067,-0.078
2750,-0.761,-0.666
2753,0.183,-0.092
2754,0.678,0.015
2755,0.071,0.253
2756,0.238,0.316
2759,-0.099,0.351
2761,0.242,0.207
2762,-0.323,0.031
2769,-0.300,0.409
2776,0.038,0.177
2785,-0.313,0.333
2786,0.355,0.550
2801,0.415,-0.004
2814,-0.434,-0.027
2821,-0.193,-0.147
2831,0.281,-0.098
2832,0.187,0.262
2833,0.083,0.141
2838,0.224,0.085
2839,-0.186,-0.065
2840,0.123,-0.057
2843,0.345,0.433
2847,0.148,0.029
2867,-0.233,0.366
2868,0.832,0.082
2869,0.485,-0.049
2875,-0.432,0.030
2879,-0.187,0.010
2888,-0.748,0.137
2890,0.829,0.050
2893,-0.802,-0.758
2894,0.484,-0.196
2899,0.279,0.510
2907,0.261,0.083
2910,-0.264,0.230
2931,0.345,-0.172
2940,0.117,0.091
2941,0.105,0.160
2942,0.235,0.071
2943,0.197,0.124
2948,0.024,0.162
2956,-0.771,0.029
2968,0.112,0.517
2975,0.851,0.062
2980,0.652,0.107
2986,0.565,-0.052
2989,-0.845,0.250
2997,0.771,-0.094
3005,0.071,0.074
3008,0.873,0.170
3009,0.895,0.105
3011,-0.497,-0.003
3013,-0.399,-0.239
3016,-0.640,0.083
3020,-0.277,-0.080
3025,-0.669,-0.029
3029,0.362,0.241
3035,-0.117,-0.150
3037,0.119,-0.114
3039,-0.481,-0.216
3041,0.101,-0.035
3049,0.590,-0.023
3052,0.063,0.121
3053,0.127,0.013
3054,-0.327,-0.048
3059,0.701,0.117
3063,0.524,0.025
3064,0.820,0.057
3077,0.173,0.069
3080,0.685,0.063
3084,0.407,0.163
3086,0.750,-0.159
3089,-0.278,0.386
3090,0.194,0.002
3094,0.127,0.037
3095,0.595,0.040
3106,0.180,0.189
3113,0.607,0.079
3115,-0.252,-0.111
3118,0.046,-0.299
3124,0.387,0.032
3126,-0.536,-0.452
3128,-0.531,-0.003
3131,0.201,-0.149
3133,-0.434,-0.081
3134,0.130,0.273
3139,-0.003,0.175
3151,0.298,0.515
3158,0.009,0.226
3161,0.620,0.143
3188,0.638,0.146
3189,-0.523,0.707
3200,0.767,0.135
3204,0.086,0.178
3205,0.052,-0.143
3214,0.614,0.044
3228,0.249,0.064
3235,-0.299,-0.281
3244,-0.172,0.388
3245,0.683,0.235
3248,0.253,0.415
3249,0.334,0.284
3255,0.469,0.156
3260,-0.675,0.122
3262,-0.771,-0.664
3263,0.212,0.040
3266,0.053,0.157
3273,0.598,0.144
3285,0.147,0.187
3293,0.223,0.522
3295,0.711,0.026
3300,0.899,0.084
3301,0.649,0.139
3308,-0.033,-0.090
3309,-0.056,-0.063
3310,0.444,0.087
3312,0.850,-0.074
3316,0.146,0.045
3326,0.033,0.102
3330,0.516,0.154
3348,0.121,0.449
3349,-0.620,-0.005
3363,0.060,-0.320
3365,0.308,0.228
3367,0.213,0.505
3372,-0.787,-0.678
3373,-0.178,0.567
3375,0.094,0.144
3376,0.453,0.111
3382,0.037,0.106
3383,-0.155,-0.046
3389,-0.810,-0.760
3392,0.299,0.608
3398,0.112,-0.019
3406,0.250,0.087
3418,0.815,-0.198
3424,0.401,0.164
3438,-0.486,-0.511
3440,0.220,0.194
3448,0.174,0.196
3450,0.447,0.265
3451,-0.003,0.018
3469,0.154,0.433
3474,0.363,0.053
3481,0.277,-0.042
3484,-0.264,-0.155
3485,-0.817,0.324
3493,0.242,0.495
3494,0.601,-0.100
3500,0.195,0.442
3503,0.249,0.111
3529,0.399,0.578
3532,0.087,0.190
3535,0.074,-0.049
3555,-0.819,-0.788
3561,0.154,-0.072
3565,0.779,-0.001
3572,0.572,-0.020
3574,0.221,-0.080
3581,-0.359,0.402
3585,0.036,0.526
3592,0.296,0.449
3593,0.399,0.056
3596,0.203,0.103
3603,0.459,0.590
3604,0.088,0.073
3608,0.462,0.245
3633,0.642,-0.339
3639,0.235,0.175
3645,0.215,0.520
3647,0.265,0.514
3648,0.870,0.111
3649,-0.288,-0.158
3655,-0.267,0.654
3656,0.136,0.058
3660,0.833,0.055
3665,0.174,0.408
3666,0.061,0.206
3675,0.468,0.132
3682,0.090,-0.071
3689,-0.017,-0.185
3694,0.091,0.355
3697,-0.316,-0.186
3701,0.084,0.152
3703,0.005,-0.114
3706,0.257,0.433
3709,0.392,0.117
3719,0.255,0.491
3720,0.052,0.160
3728,-0.094,0.461
3729,0.142,0.094
3741,-0.097,-0.438
3749,0.220,0.233
3755,-0.188,-0.010
3758,0.647,0.021
3760,0.197,-0.005
3761,0.080,0.070
3786,0.531,0.114
3796,0.152,-0.002
3798,0.144,0.164
3819,-0.030,0.011
3829,0.712,-0.108
3838,0.828,-0.050
3846,0.258,0.233
3847,0.890,0.083
3856,0.041,-0.157
3863,0.078,0.191
3883,0.177,0.011
3885,-0.144,0.039
3897,-0.068,0.094
3898,-0.487,-0.041
3900,0.039,0.406
3908,0.208,0.027
3911,0.833,0.055
3912,-0.794,-0.701
3932,0.520,0.187
3934,0.053,0.214
3951,0.176,-0.051
3953,0.902,0.058
3958,-0.401,0.340
3961,0.144,0.305
3967,0.844,0.085
3974,-0.521,-0.199
3975,0.572,-0.081
3982,-0.152,-0.007
3984,0.691,0.125
3998,-0.233,0.280
4000,0.221,0.107
4003,0.096,0.112
4012,-0.324,0.106
4025,0.070,-0.044
4029,-0.613,-0.173
4030,0.136,0.174
4033,0.108,0.143
4037,-0.763,-0.768
4038,0.055,-0.012
