,beta1,beta2,beta3,beta4,alpha
32214,-3.006,5.604,-3.651,0.594,0.022
32215,7.184,-2.513,-0.879,-0.819,0.293
32216,1.121,-2.689,-2.179,-0.159,1.569
32217,-3.917,7.715,-3.406,-2.608,0.148
32218,8.879,-0.511,1.279,1.933,-0.063
32219,9.858,-5.857,-1.263,-0.263,-0.098
32220,2.427,3.804,-0.506,-11.996,-1.154
32221,9.736,-2.778,-11.630,-1.132,-0.721
32222,-3.611,2.158,-1.324,5.201,-0.547
32223,-4.989,-4.342,3.544,7.168,-0.504
32224,3.602,2.026,-2.884,-2.804,-0.346
32225,3.491,-1.687,1.541,4.754,-0.488
32226,-2.964,-0.407,-1.107,-0.582,0.289
32227,5.613,-1.834,3.178,5.909,0.630
32228,6.707,3.448,7.385,4.302,-2.352
32229,2.523,1.723,3.124,8.854,-0.447
32230,-6.808,-1.565,0.565,-0.673,-0.130
32231,6.931,1.879,6.051,3.973,-1.555
32232,2.315,2.185,6.526,16.854,-0.890
32233,0.518,2.642,3.351,10.047,-0.618
32234,5.828,3.513,5.679,2.566,-2.125
32235,3.832,6.844,6.349,15.438,-0.162
32236,-6.850,-0.650,2.107,3.428,0.152
32237,0.949,1.484,3.819,11.822,-0.120
32238,9.358,-3.319,-2.429,1.024,-0.688
32239,6.225,-2.718,-2.388,1.876,-0.129
32240,8.557,-5.704,1.719,-2.442,-0.607
32241,5.933,-2.140,-1.304,-2.700,1.360
32242,-3.512,2.010,-2.153,7.991,0.353
32243,-4.016,4.354,0.287,3.561,0.699
32244,7.746,-1.663,-0.557,-1.718,0.201
32245,-7.841,1.340,0.023,-6.029,1.126
32246,9.566,2.586,-2.159,-2.973,-1.321
32247,-6.223,0.460,0.019,5.164,0.876
32248,0.793,5.723,-3.338,-7.032,0.477
32249,-11.678,0.291,8.294,-1.704,0.134
32250,2.750,-0.395,0.825,-4.584,1.355
32251,5.565,-1.658,-6.056,4.766,-0.512
32252,-3.495,0.600,-0.548,-5.314,0.139
32253,5.494,0.357,-0.287,2.557,-0.307
32254,5.150,-0.263,2.613,1.414,0.102
32255,7.140,-0.567,-0.022,3.753,-0.038
32256,6.106,-1.497,-2.923,-0.201,0.560
32257,6.881,-1.238,-0.805,-0.984,1.234
32258,-1.438,7.439,3.074,-2.981,0.729
32259,4.157,4.794,-1.562,-3.562,0.340
32260,5.851,1.104,-1.789,-7.432,1.079
32261,-8.072,-5.251,2.721,6.572,0.555
32262,8.386,3.630,1.994,5.126,-2.159
32263,-2.015,-6.536,0.690,23.623,-0.160
32264,-5.311,-0.724,-4.765,-2.563,1.010
32265,3.139,8.772,-7.681,-4.406,-0.107
32266,2.349,11.526,-2.642,-12.579,-0.205
32267,2.256,-4.509,2.761,15.215,0.216
32268,-6.706,-7.564,0.371,-5.756,-0.927
32269,5.378,7.346,-2.355,-4.876,-0.182
32270,-3.931,4.890,0.850,8.483,-0.118
32271,10.161,-2.832,1.028,1.215,0.798
32272,-6.499,-7.210,-0.710,-4.815,-0.789
32273,-6.733,-13.172,0.481,13.558,-0.145
32274,-0.641,2.000,-5.602,-8.677,0.914
32275,-5.340,3.014,0.106,3.376,0.701
32276,5.425,-0.732,1.575,-1.631,-0.331
32277,-2.907,-2.870,-2.742,-8.622,0.257
32278,-1.230,3.263,2.005,0.533,0.387
32279,-3.177,-0.984,-2.131,-0.417,0.013
32280,5.367,-1.231,0.241,0.315,0.294
32281,3.811,-1.047,0.449,-1.207,-0.085
32282,2.052,0.099,0.674,-0.255,0.778
32283,0.446,-1.603,-0.103,-3.279,0.057
32284,2.825,-0.478,0.898,-0.620,0.435
32285,-2.445,0.129,-2.620,-2.723,0.139
32286,-0.790,-0.568,-1.346,0.460,0.457
32287,-2.485,-0.403,-3.374,0.672,0.636
32288,4.189,-0.441,-1.444,0.496,-0.153
