candidateId,x,y
9,-0.120,0.403
16,-0.033,-0.218
25,-0.039,0.066
30,0.643,-0.101
31,0.763,0.050
33,0.094,0.120
41,0.307,0.428
42,0.291,-0.036
44,-0.690,-0.181
49,0.406,0.445
58,0.307,0.082
59,0.282,0.516
67,0.607,0.139
68,0.649,-0.129
74,-0.704,-0.272
76,0.568,-0.727
95,0.032,-0.099
104,-0.302,-0.247
106,0.814,-0.142
109,-0.506,0.377
111,0.382,0.536
114,0.343,0.402
117,0.166,-0.151
119,0.649,-0.014
120,-0.282,-0.189
122,-0.219,-0.209
123,0.640,-0.128
124,0.007,0.282
128,-0.901,0.206
132,-0.340,-0.101
133,0.676,0.093
134,0.303,0.279
145,0.330,0.540
148,0.583,-0.075
160,0.153,0.004
171,-0.565,-0.160
172,-0.301,-0.270
174,-0.215,-0.196
179,0.089,0.155
182,0.600,-0.107
185,0.034,-0.047
187,-0.043,-0.207
188,0.152,0.161
189,0.116,0.114
195,0.569,-0.061
206,0.558,-0.018
211,0.212,0.127
214,0.549,0.096
216,0.243,-0.034
217,0.733,0.052
221,0.776,-0.077
238,0.057,-0.082
252,-0.279,0.248
253,0.026,0.110
257,0.571,-0.108
264,0.070,-0.050
271,-0.233,-0.213
277,-0.301,-0.075
285,-0.100,-0.236
292,-0.299,0.118
295,0.500,0.096
297,0.685,-0.122
299,0.775,0.044
301,0.120,0.189
308,-0.483,-0.061
313,0.509,0.029
325,0.078,0.119
331,0.288,0.501
336,0.059,0.106
339,-0.154,0.404
340,-0.095,0.151
341,-0.716,0.460
342,0.490,0.386
346,0.142,-0.051
357,0.353,0.368
368,-0.372,-0.262
374,-0.207,0.493
386,0.207,0.056
388,0.028,0.173
389,0.214,0.181
391,0.321,-0.039
392,0.723,-0.177
395,-0.238,-0.250
398,0.059,-0.071
404,0.867,-0.114
406,0.181,0.082
409,0.362,0.489
411,0.709,0.154
433,-0.402,-0.145
440,0.551,0.046
449,0.075,0.239
450,0.706,-0.321
458,0.897,-0.112
466,-0.123,0.281
469,-0.331,-0.136
480,0.058,0.223
492,0.682,-0.042
506,0.086,-0.040
520,0.651,-0.160
521,0.059,-0.113
525,-0.288,0.223
535,0.707,0.083
536,0.658,0.103
539,0.090,-0.168
545,0.228,-0.099
557,-0.124,-0.055
558,0.658,0.014
563,0.430,0.050
571,0.712,-0.094
572,0.667,-0.161
576,0.153,0.200
596,-0.612,-0.194
598,0.414,0.095
605,0.561,0.134
614,0.200,0.101
616,0.033,0.243
617,-0.008,0.159
625,0.721,0.070
628,0.142,0.213
636,0.086,0.415
637,0.034,0.147
639,0.482,-0.012
650,0.031,0.169
668,0.536,0.103
670,-0.321,-0.093
672,0.504,-0.055
674,0.557,0.018
686,0.315,0.306
690,-0.488,-0.163
699,-0.123,0.343
701,-0.107,0.263
702,0.285,0.315
707,0.516,-0.236
712,0.169,0.142
715,-0.319,0.078
716,-0.873,0.136
731,0.852,-0.133
734,0.379,-0.105
741,0.078,0.046
749,0.116,0.297
756,0.561,0.078
760,0.701,0.104
776,0.631,-0.085
780,-0.126,0.380
786,0.125,0.149
795,0.287,0.382
798,0.278,-0.109
806,0.549,-0.028
810,0.581,0.036
813,0.599,0.001
814,0.084,0.158
823,0.028,-0.134
825,-0.065,-0.168
834,0.081,0.020
835,0.168,-0.138
838,-0.046,-0.150
841,0.457,0.000
846,-0.541,0.043
847,0.062,0.311
848,0.785,-0.098
857,0.191,0.306
863,0.391,0.520
873,0.265,0.491
875,0.304,0.520
876,0.624,-0.167
880,0.115,0.023
882,-0.082,-0.248
889,0.140,0.047
900,0.012,0.176
905,-0.439,-0.134
911,0.160,0.273
912,-0.729,-0.254
914,-0.275,0.550
915,-0.150,-0.209
918,0.849,0.059
930,-0.245,0.322
939,0.540,0.171
950,0.478,0.186
957,-0.678,0.142
969,0.595,-0.436
981,0.398,0.450
983,-0.690,-0.303
990,0.146,0.203
991,0.125,0.399
1007,-0.447,0.001
1012,-0.235,0.431
1018,0.499,-0.057
1020,-0.299,-0.176
1021,0.329,0.084
1026,0.418,0.172
1048,-0.320,-0.187
1067,0.650,-0.110
1071,-0.272,-0.347
1072,-0.208,0.032
1077,0.136,0.296
1094,-0.153,0.076
1098,0.294,0.155
1103,0.435,0.002
1113,0.684,-0.235
1117,0.529,0.145
1138,0.690,-0.105
1145,0.839,0.105
1150,0.231,-0.055
1156,-0.406,-0.013
1164,0.542,0.092
1172,0.709,-0.136
1174,0.151,0.540
1176,0.165,0.237
1178,-0.352,-0.181
1183,0.566,0.075
1196,0.518,0.059
1204,-0.410,0.003
1214,-0.193,-0.349
1231,-0.206,0.242
1232,0.312,-0.016
1240,0.685,-0.140
1242,0.332,0.177
1249,0.065,0.012
1251,0.182,0.256
1265,0.790,0.035
1266,0.724,-0.099
1268,0.305,0.005
1273,0.243,0.050
1282,0.514,0.463
1290,0.304,0.203
1293,0.466,0.159
1297,-0.282,0.446
1306,0.185,-0.122
1316,0.386,0.146
1328,-0.929,0.233
1331,0.034,0.154
1334,0.774,-0.091
1349,-0.530,-0.157
1359,0.076,0.264
1368,0.375,0.425
1373,0.044,-0.014
1374,0.056,0.170
1382,0.261,0.084
1391,-0.013,0.246
1395,0.655,-0.042
1396,-0.027,-0.270
1430,0.870,-0.145
1433,0.078,0.227
1442,0.354,0.447
1453,0.288,0.310
1456,0.641,-0.050
1458,-0.711,-0.157
1464,-0.201,-0.128
1466,0.078,0.170
