,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,alpha
32214,-320.027,-871.018,1165.629,74.350,262.270,58.746,22.654,-614.843,429.488,324.562,-282.628
32215,448.830,58.350,-1232.692,-4.171,-62.574,-341.924,-17.269,939.596,-132.547,57.373,303.568
32216,-155.757,218.814,2.342,-22.748,-88.087,-123.064,8.715,-47.845,-24.612,-136.338,4.017
32217,-855.964,-1304.917,2604.539,90.939,326.588,-1326.948,55.266,-1627.455,1152.226,371.101,-134.074
32218,-430.327,161.925,631.332,51.883,-12.218,692.924,-47.812,-592.206,-154.241,-46.261,-373.815
32219,395.579,-171.026,-1020.863,27.327,-12.769,-983.852,-23.653,823.410,166.537,161.980,436.556
32220,504.868,74.529,-727.785,-27.863,-29.366,-671.810,-9.696,511.307,122.643,49.693,390.481
32221,-601.137,127.861,753.640,-14.319,31.501,1639.134,38.009,-547.971,-366.626,-149.486,-728.567
32222,-280.089,-138.931,1176.894,1.300,184.475,1400.183,20.639,-855.362,-48.761,34.455,-605.469
32223,273.546,-209.726,-137.845,-2.156,71.555,-628.062,13.355,168.526,267.972,109.565,263.684
32224,220.358,-10.472,-147.440,2.461,115.844,1419.363,-13.290,125.662,-320.631,104.861,-391.384
32225,-135.843,335.023,-10.279,-21.624,-18.305,1764.800,5.172,-54.014,-589.973,-136.136,-549.161
32226,-120.715,-170.356,570.885,-2.996,23.391,-1049.523,17.977,-412.143,464.033,16.441,239.430
32227,182.053,596.178,60.504,-6.784,2.748,1302.177,-54.595,-310.315,-346.106,-117.918,-307.968
32228,-192.410,262.144,-682.711,22.954,-68.229,2571.854,-11.569,532.886,-1072.229,-89.745,-772.241
32229,-416.385,342.710,376.263,-6.844,-10.506,2512.669,5.995,-340.481,-797.350,-176.574,-871.294
32230,-523.593,-409.363,924.046,42.255,29.728,-626.150,25.822,-565.527,306.304,59.677,-37.183
32231,-65.466,126.020,-663.389,7.632,-44.028,1636.850,7.767,548.540,-715.913,-48.171,-463.964
32232,-405.922,317.302,-262.377,10.791,-166.224,1096.500,0.491,160.816,-662.549,-215.447,-368.107
32233,-543.569,155.589,464.186,22.904,-35.887,1732.561,2.650,-356.608,-594.400,-134.718,-681.302
32234,-698.479,250.587,-593.572,36.720,-137.753,3069.979,12.049,558.989,-1290.110,-192.087,-1099.332
32235,1049.661,1400.147,-1049.074,-33.688,-10.586,3195.903,-162.916,185.547,-1101.451,-204.073,-485.631
32236,-1195.431,-61.862,2003.481,-28.370,78.082,2405.805,127.912,-1351.230,-432.446,-270.622,-1175.057
