fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,spread,boundary,distortion_mean,distortion_std,model,sparsity,seed
0.1805,0.8358,0.2534,,,,0.218,0.0253,0.0938,0.0919,linear,0.0,0
0.1793,0.8366,0.252,0.1857,0.8282,0.2626,0.2006,0.0049,0.0934,0.0922,linear,0.3,0
0.1784,0.8377,0.251,0.1886,0.8241,0.2656,0.2006,0.0087,0.0938,0.0925,linear,0.3,1
0.1789,0.8384,0.2518,0.1866,0.8251,0.2633,0.202,0.0049,0.0932,0.0916,linear,0.3,2
0.1784,0.8399,0.2511,0.1872,0.8235,0.2656,0.2024,0.0068,0.0936,0.0926,linear,0.3,3
0.1788,0.8383,0.2518,0.1875,0.8249,0.264,0.2021,0.0078,0.0945,0.0931,linear,0.3,4
0.1745,0.8439,0.2471,0.1904,0.818,0.27,0.1811,0.0,0.0941,0.0931,linear,0.6,0
0.1733,0.8442,0.2454,0.1914,0.8188,0.2716,0.1803,0.0,0.0936,0.0927,linear,0.6,1
0.1722,0.8478,0.2449,0.1913,0.8165,0.2722,0.1826,0.0,0.0931,0.0923,linear,0.6,2
0.1734,0.8469,0.2457,0.1904,0.8204,0.2715,0.1857,0.0,0.093,0.0929,linear,0.6,3
0.174,0.8426,0.2463,0.1918,0.8176,0.272,0.1833,0.0,0.0948,0.0946,linear,0.6,4
0.1419,0.8878,0.2099,0.2223,0.7762,0.3223,0.1535,0.0,0.0937,0.095,linear,0.9,0
0.1391,0.891,0.2061,0.2252,0.77,0.3297,0.1497,0.0,0.0948,0.0971,linear,0.9,1
0.1429,0.8855,0.2112,0.2225,0.7733,0.3256,0.151,0.0,0.0979,0.0991,linear,0.9,2
0.1389,0.8914,0.2062,0.216,0.7862,0.3172,0.1488,0.0,0.0939,0.0963,linear,0.9,3
0.1434,0.8858,0.2106,0.229,0.7661,0.3315,0.1464,0.0,0.096,0.0976,linear,0.9,4
0.1676,0.8533,0.24,,,,0.2093,0.0534,0.0525,0.0484,polynomial,0.0,0
0.166,0.8547,0.2381,0.1743,0.8429,0.2516,0.1809,0.0262,0.0484,0.0464,polynomial,0.3,0
0.1651,0.8557,0.2373,0.1769,0.8394,0.2545,0.1765,0.0321,0.0504,0.0503,polynomial,0.3,1
0.1657,0.8554,0.238,0.1753,0.838,0.2528,0.1789,0.0272,0.0485,0.0476,polynomial,0.3,2
0.1657,0.8542,0.2378,0.1756,0.8368,0.2543,0.1805,0.0272,0.0491,0.0481,polynomial,0.3,3
0.1651,0.8551,0.2376,0.1763,0.838,0.2538,0.1811,0.0311,0.0477,0.0442,polynomial,0.3,4
0.1609,0.8634,0.2326,0.18,0.8316,0.2615,0.1373,0.0029,0.0423,0.0417,polynomial,0.6,0
0.1592,0.8623,0.2305,0.1812,0.8301,0.2641,0.1359,0.0049,0.0457,0.0481,polynomial,0.6,1
0.1584,0.8635,0.2297,0.1814,0.8279,0.265,0.1379,0.0068,0.0461,0.0495,polynomial,0.6,2
0.1599,0.8614,0.2314,0.1799,0.831,0.2624,0.1419,0.001,0.0458,0.0467,polynomial,0.6,3
0.1593,0.8615,0.2309,0.1809,0.8301,0.263,0.1398,0.0029,0.0429,0.0417,polynomial,0.6,4
0.1285,0.9055,0.1917,0.2397,0.7525,0.3539,0.0744,0.0,0.0621,0.0662,polynomial,0.9,0
0.1332,0.8954,0.1986,0.2405,0.7517,0.3539,0.0689,0.0,0.0624,0.0686,polynomial,0.9,1
