candidateId,x,y
9,0.016,0.252
16,-0.040,-0.056
25,0.012,0.037
30,0.436,-0.090
31,0.310,-0.015
33,0.051,0.049
41,0.140,0.160
42,0.097,0.023
44,-0.346,0.018
49,0.193,0.157
58,0.143,0.033
59,0.137,0.167
67,0.380,0.087
68,0.378,-0.101
74,-0.388,-0.040
76,0.199,-0.165
95,0.002,-0.004
104,-0.153,-0.081
106,0.349,-0.101
109,-0.135,0.128
111,0.203,0.246
114,0.160,0.146
117,0.042,-0.038
119,0.382,-0.035
120,-0.141,-0.058
122,-0.121,-0.067
123,0.348,-0.134
124,0.038,0.151
128,-0.252,-0.040
132,-0.160,-0.006
133,0.253,0.003
134,0.144,0.104
145,0.191,0.258
148,0.244,-0.090
160,0.062,-0.029
171,-0.295,0.012
172,-0.201,-0.111
174,-0.126,-0.078
179,0.052,0.045
182,0.333,-0.097
185,0.013,-0.001
187,-0.048,-0.059
188,0.058,0.048
189,0.062,0.050
195,0.251,-0.053
206,0.268,-0.054
211,0.097,0.051
214,0.271,0.022
216,0.082,-0.014
217,0.319,-0.018
221,0.322,-0.091
238,0.009,-0.029
252,-0.069,0.101
253,0.023,0.043
257,0.228,-0.101
264,0.021,-0.052
271,-0.118,-0.022
277,-0.108,0.003
285,-0.075,-0.093
292,-0.091,0.045
295,0.238,0.035
297,0.445,-0.100
299,0.348,-0.018
301,0.078,0.056
308,-0.223,-0.017
313,0.223,-0.027
325,0.039,0.039
331,0.166,0.213
336,0.040,0.041
339,-0.013,0.118
340,-0.004,0.140
341,-0.364,0.102
342,0.244,0.150
346,0.055,-0.052
357,0.201,0.202
368,-0.219,-0.084
374,-0.052,0.194
386,0.090,0.013
388,0.035,0.068
389,0.103,0.095
391,0.127,-0.037
392,0.470,-0.169
395,-0.126,-0.072
398,0.009,-0.031
404,0.396,-0.073
406,0.081,0.026
409,0.176,0.194
411,0.304,0.043
433,-0.199,-0.029
440,0.243,-0.013
449,0.064,0.097
450,0.229,-0.137
458,0.371,-0.064
466,0.000,0.061
469,-0.164,-0.031
480,0.058,0.094
492,0.451,-0.076
506,0.022,-0.008
520,0.419,-0.124
521,0.009,-0.036
525,-0.098,0.079
535,0.287,-0.002
536,0.299,0.017
539,0.014,-0.039
545,0.089,-0.140
557,-0.047,-0.017
558,0.308,-0.038
563,0.178,0.022
571,0.339,-0.068
572,0.329,-0.124
576,0.073,0.060
596,-0.264,-0.017
598,0.217,0.032
605,0.228,0.044
614,0.093,0.045
616,0.046,0.104
617,0.023,0.049
625,0.295,-0.010
628,0.082,0.079
636,0.079,0.204
637,0.027,0.033
639,0.203,-0.074
650,0.031,0.060
668,0.214,0.001
670,-0.149,0.003
672,0.202,-0.069
674,0.345,-0.021
686,0.144,0.149
690,-0.280,0.025
699,0.011,0.170
701,-0.001,0.147
702,0.093,0.049
707,0.245,-0.208
712,0.076,0.047
715,-0.155,0.120
716,-0.235,-0.036
731,0.382,-0.075
734,0.163,-0.118
741,0.035,0.034
749,0.101,0.138
756,0.261,0.014
760,0.316,0.036
776,0.333,-0.107
780,-0.001,0.128
786,0.055,0.061
795,0.140,0.159
798,0.098,-0.063
806,0.253,-0.064
810,0.359,-0.026
813,0.388,-0.052
814,0.055,0.082
823,0.002,0.010
825,-0.059,-0.065
834,0.038,0.016
835,0.048,-0.025
838,-0.029,-0.024
841,0.223,0.004
846,-0.204,-0.023
847,0.062,0.142
848,0.416,-0.072
857,0.111,0.129
863,0.196,0.211
873,0.141,0.199
875,0.143,0.182
876,0.303,-0.145
880,0.043,-0.002
882,-0.057,-0.048
889,0.055,-0.003
900,0.033,0.070
905,-0.213,-0.047
911,0.084,0.107
912,-0.375,-0.026
914,-0.102,0.255
915,-0.099,-0.107
918,0.346,0.003
930,-0.075,0.120
939,0.293,0.074
950,0.226,0.064
957,-0.269,0.060
969,0.283,-0.237
981,0.235,0.235
983,-0.387,-0.055
990,0.062,0.074
991,0.083,0.180
1007,-0.155,-0.017
1012,-0.096,0.215
1018,0.224,-0.066
1020,-0.158,-0.046
1021,0.140,0.022
1026,0.193,0.054
1048,-0.167,-0.079
1067,0.367,-0.123
1071,-0.185,-0.150
1072,-0.064,0.011
1077,0.058,0.084
1094,-0.051,0.020
1098,0.128,0.068
1103,0.178,-0.042
1113,0.327,-0.126
1117,0.229,0.021
1138,0.378,-0.083
1145,0.476,0.045
1150,0.083,-0.032
1156,-0.194,0.017
1164,0.245,0.007
1172,0.294,-0.119
1174,0.101,0.219
1176,0.096,0.100
1178,-0.213,-0.075
1183,0.276,0.000
1196,0.263,0.009
1204,-0.194,0.042
1214,-0.127,-0.117
1231,-0.035,0.099
1232,0.114,-0.009
1240,0.363,-0.115
1242,0.157,0.074
1249,0.035,0.009
1251,0.065,0.065
1265,0.371,0.000
1266,0.436,-0.070
1268,0.128,-0.022
1273,0.094,-0.003
1282,0.239,0.156
1290,0.115,0.067
1293,0.202,0.038
1297,-0.081,0.251
1306,0.070,-0.055
1316,0.172,0.069
1328,-0.247,-0.027
1331,0.029,0.040
1334,0.471,-0.088
1349,-0.274,-0.013
1359,0.056,0.080
1368,0.176,0.190
1373,0.011,-0.028
1374,0.046,0.045
1382,0.116,0.021
1391,0.042,0.133
1395,0.374,-0.063
1396,-0.036,-0.095
1430,0.393,-0.083
1433,0.070,0.104
1442,0.167,0.165
1453,0.105,0.054
1456,0.395,-0.091
1458,-0.335,0.010
1464,-0.101,-0.046
1466,0.043,0.050
1471,0.379,-0.132
1480,0.375,-0.102
1497,-0.173,0.001
1502,-0.348,-0.106
1505,0.136,0.058
1531,0.102,0.042
1533,-0.068,0.186
1538,0.252,0.185
1553,0.025,0.057
1561,-0.299,0.299
1564,-0.132,-0.161
1569,-0.256,0.014
1574,-0.036,-0.004
1575,0.338,-0.063
1577,-0.082,-0.096
1585,-0.264,0.014
1592,0.092,0.039
1596,-0.164,0.013
1610,-0.096,0.072
1611,0.196,0.117
1612,0.153,0.207
1651,-0.328,-0.019
1659,-0.012,-0.043
1665,-0.413,-0.030
1666,0.185,0.217
1670,-0.013,-0.012
1682,0.331,-0.089
1694,0.244,0.073
1702,-0.104,-0.091
1706,0.019,-0.037
1728,0.095,0.090
1733,0.151,0.173
1740,-0.037,0.010
1750,0.382,-0.074
1754,0.331,0.038
1755,0.405,-0.075
1760,-0.126,-0.046
1761,-0.092,-0.050
1769,-0.098,0.113
1770,-0.070,0.199
1783,0.268,-0.014
