,beta1,beta2,alpha
32214,-1.951,5.223,-0.431
32215,5.684,-3.583,0.542
32216,0.411,-1.170,1.072
32217,-2.563,6.774,-0.382
32218,7.202,-2.193,0.514
32219,7.533,-6.394,0.276
32220,1.824,-0.276,-1.283
32221,2.077,-0.668,-0.822
32222,-3.047,3.754,-0.614
32223,-3.632,-1.150,-0.253
32224,2.174,0.675,-0.499
32225,2.598,-1.086,0.038
32226,-2.571,0.698,-0.026
32227,3.578,-1.395,1.319
32228,6.687,0.794,-1.411
32229,2.206,1.056,0.511
32230,-5.647,0.513,-0.520
32231,6.158,-0.217,-0.703
32232,1.946,1.105,0.650
32233,1.082,1.472,0.406
32234,5.965,0.500,-1.299
32235,2.803,2.726,1.274
32236,-5.131,1.649,-0.002
32237,1.127,0.859,0.942
32238,6.685,-3.913,-0.285
32239,4.215,-2.487,0.046
32240,6.904,-6.643,-0.265
32241,5.020,-3.578,1.428
32242,-3.070,3.758,0.341
32243,-2.564,4.055,0.756
32244,6.243,-3.431,0.503
32245,-5.960,1.578,0.516
32246,7.116,-0.754,-0.868
32247,-4.868,2.665,0.743
32248,0.577,3.100,-0.013
32249,-7.568,1.942,-0.315
32250,2.256,-2.004,1.337
32251,2.120,0.136,-0.590
32252,-2.582,0.608,-0.361
32253,4.420,-0.496,0.038
32254,4.153,-1.518,0.626
32255,5.660,-1.589,0.480
32256,4.532,-2.250,0.624
32257,5.774,-2.728,1.480
32258,0.617,3.462,1.103
32259,3.564,1.931,0.389
32260,4.886,-2.171,0.986
32261,-6.197,-0.920,0.333
32262,7.489,1.198,-1.464
32263,-1.546,0.429,0.328
32264,-4.588,1.025,0.248
32265,1.606,6.397,-0.639
32266,2.598,5.806,-0.307
32267,1.463,-1.079,1.024
32268,-6.221,-4.358,-1.705
32269,4.652,3.603,-0.092
32270,-2.600,4.659,0.210
32271,8.175,-4.318,1.394
32272,-5.817,-3.780,-1.551
32273,-6.338,-5.895,-0.436
32274,-0.918,1.014,-0.204
32275,-3.934,3.722,0.629
32276,4.543,-2.261,-0.037
32277,-2.493,-1.647,-0.670
32278,-0.046,1.822,0.723
32279,-2.836,0.365,-0.409
32280,4.366,-1.994,0.546
32281,3.049,-1.882,0.058
32282,1.710,-0.550,0.941
32283,0.083,-1.624,-0.140
32284,2.322,-1.179,0.616
32285,-2.083,0.577,-0.436
32286,-0.980,0.339,0.221
32287,-2.454,1.186,0.128
32288,3.070,-0.851,-0.093
