candidateId,x,y
9,0.029,0.558
16,-0.085,-0.132
25,0.019,0.078
30,0.800,-0.190
31,0.615,-0.031
33,0.096,0.106
41,0.273,0.358
42,0.186,0.048
44,-0.694,0.027
49,0.379,0.354
58,0.277,0.072
59,0.267,0.375
67,0.738,0.198
68,0.732,-0.222
74,-0.764,-0.103
76,0.388,-0.374
95,-0.001,-0.015
104,-0.309,-0.193
106,0.685,-0.226
109,-0.273,0.278
111,0.401,0.553
114,0.313,0.327
117,0.077,-0.090
119,0.739,-0.075
120,-0.285,-0.140
122,-0.246,-0.160
123,0.684,-0.300
124,0.070,0.333
128,-0.509,-0.106
132,-0.322,-0.024
133,0.498,0.008
134,0.280,0.232
145,0.376,0.579
148,0.480,-0.203
160,0.117,-0.069
171,-0.595,0.012
172,-0.405,-0.263
174,-0.256,-0.185
179,0.098,0.097
182,0.658,-0.218
185,0.019,-0.008
187,-0.100,-0.140
188,0.110,0.104
189,0.117,0.108
195,0.494,-0.119
206,0.529,-0.122
211,0.187,0.112
214,0.536,0.052
216,0.157,-0.036
217,0.631,-0.039
221,0.636,-0.205
238,0.012,-0.070
252,-0.141,0.219
253,0.040,0.091
257,0.447,-0.229
264,0.035,-0.121
271,-0.239,-0.059
277,-0.220,-0.003
285,-0.154,-0.216
292,-0.186,0.093
295,0.468,0.080
297,0.808,-0.209
299,0.684,-0.037
301,0.149,0.122
308,-0.448,-0.051
313,0.438,-0.061
325,0.072,0.084
331,0.326,0.479
336,0.074,0.088
339,-0.030,0.258
340,-0.013,0.309
341,-0.725,0.215
342,0.481,0.341
346,0.103,-0.120
357,0.396,0.455
368,-0.441,-0.203
374,-0.108,0.427
386,0.173,0.026
388,0.063,0.148
389,0.199,0.210
391,0.245,-0.086
392,0.828,-0.349
395,-0.255,-0.172
398,0.011,-0.075
404,0.756,-0.158
406,0.155,0.055
409,0.346,0.437
411,0.601,0.101
433,-0.400,-0.078
440,0.479,-0.029
449,0.122,0.214
450,0.449,-0.311
458,0.721,-0.141
466,-0.005,0.131
469,-0.331,-0.080
480,0.109,0.207
492,0.813,-0.158
506,0.039,-0.022
520,0.782,-0.268
521,0.011,-0.086
525,-0.200,0.168
535,0.568,-0.002
536,0.592,0.042
539,0.022,-0.093
545,0.169,-0.319
557,-0.099,-0.046
558,0.611,-0.083
563,0.347,0.048
571,0.668,-0.151
572,0.649,-0.280
576,0.139,0.132
596,-0.533,-0.052
598,0.427,0.072
605,0.448,0.100
614,0.179,0.098
616,0.087,0.228
617,0.040,0.104
625,0.584,-0.020
628,0.158,0.174
636,0.153,0.454
637,0.048,0.069
639,0.397,-0.168
650,0.056,0.130
668,0.419,0.002
670,-0.300,-0.004
672,0.396,-0.156
674,0.680,-0.044
686,0.281,0.334
690,-0.563,0.043
699,0.018,0.375
701,-0.007,0.324
702,0.178,0.106
707,0.482,-0.472
712,0.146,0.102
715,-0.312,0.260
716,-0.473,-0.096
731,0.738,-0.165
734,0.317,-0.268
741,0.064,0.071
749,0.196,0.308
756,0.515,0.034
760,0.626,0.085
776,0.657,-0.241
780,-0.007,0.281
786,0.104,0.132
795,0.274,0.357
798,0.188,-0.145
806,0.498,-0.145
810,0.704,-0.055
813,0.747,-0.113
814,0.103,0.180
823,-0.003,0.016
825,-0.123,-0.154
834,0.070,0.032
835,0.088,-0.062
838,-0.063,-0.060
841,0.437,0.010
846,-0.410,-0.063
847,0.117,0.315
848,0.780,-0.154
857,0.216,0.287
863,0.385,0.475
873,0.276,0.447
875,0.280,0.408
876,0.599,-0.328
880,0.080,-0.010
882,-0.118,-0.116
889,0.104,-0.012
900,0.059,0.152
905,-0.430,-0.118
911,0.162,0.238
912,-0.744,-0.073
914,-0.206,0.562
915,-0.202,-0.250
918,0.681,0.009
930,-0.154,0.262
939,0.581,0.171
950,0.444,0.145
957,-0.542,0.123
969,0.558,-0.537
981,0.464,0.531
983,-0.762,-0.138
990,0.117,0.161
991,0.160,0.400
1007,-0.314,-0.049
1012,-0.194,0.473
1018,0.440,-0.149
1020,-0.318,-0.115
1021,0.271,0.047
1026,0.378,0.121
1048,-0.338,-0.189
1067,0.715,-0.273
1071,-0.375,-0.349
1072,-0.131,0.016
1077,0.110,0.185
1094,-0.106,0.037
1098,0.248,0.152
1103,0.346,-0.095
1113,0.645,-0.284
1117,0.450,0.048
1138,0.732,-0.183
1145,0.837,0.091
1150,0.159,-0.075
1156,-0.391,0.027
1164,0.482,0.016
1172,0.582,-0.270
1174,0.196,0.490
1176,0.186,0.222
1178,-0.430,-0.181
1183,0.545,0.002
1196,0.520,0.022
1204,-0.390,0.084
1214,-0.259,-0.274
1231,-0.073,0.215
1232,0.220,-0.022
1240,0.709,-0.256
1242,0.307,0.165
1249,0.064,0.016
1251,0.123,0.142
1265,0.724,0.003
1266,0.800,-0.147
1268,0.248,-0.051
1273,0.181,-0.010
1282,0.471,0.353
1290,0.222,0.148
1293,0.396,0.087
1297,-0.164,0.554
1306,0.132,-0.127
1316,0.337,0.155
1328,-0.498,-0.076
1331,0.052,0.085
1334,0.828,-0.179
1349,-0.551,-0.044
1359,0.106,0.175
1368,0.346,0.427
1373,0.015,-0.067
1374,0.085,0.096
1382,0.223,0.045
1391,0.079,0.293
1395,0.727,-0.138
1396,-0.078,-0.220
1430,0.753,-0.180
1433,0.134,0.229
1442,0.327,0.372
1453,0.202,0.117
1456,0.756,-0.199
1458,-0.673,0.008
1464,-0.206,-0.111
1466,0.080,0.106
1471,0.733,-0.291
1480,0.728,-0.225
1497,-0.348,-0.008
1502,-0.698,-0.256
1505,0.263,0.129
1531,0.196,0.092
1533,-0.139,0.410
1538,0.499,0.421
1553,0.044,0.123
1561,-0.600,0.654
1564,-0.269,-0.371
1569,-0.516,0.019
1574,-0.077,-0.016
1575,0.666,-0.140
1577,-0.168,-0.223
1585,-0.532,0.017
1592,0.176,0.085
1596,-0.331,0.018
1610,-0.194,0.154
1611,0.385,0.263
1612,0.300,0.464
1651,-0.661,-0.058
1659,-0.030,-0.103
1665,-0.796,-0.079
1666,0.363,0.488
1670,-0.031,-0.033
1682,0.654,-0.200
1694,0.481,0.167
1702,-0.212,-0.213
1706,0.032,-0.089
1728,0.184,0.199
1733,0.294,0.387
1740,-0.079,0.015
1750,0.737,-0.162
1754,0.655,0.090
1755,0.767,-0.162
1760,-0.255,-0.114
1761,-0.189,-0.121
1769,-0.199,0.245
1770,-0.143,0.437
1783,0.529,-0.031
1786,0.156,0.102
1787,0.342,0.007
1788,-0.271,-0.071
1791,-0.385,-0.145
1822,0.143,0.376
1838,0.081,-0.063
1840,-0.456,-0.083
1845,0.745,0.089
1856,0.780,-0.072
1868,-0.109,0.428
1871,0.376,0.041
1883,-0.489,-0.088
1885,0.484,-0.031
1893,0.492,0.143
