,beta1,beta2,alpha
32214,-1.719,4.582,-0.381
32215,5.222,-3.369,0.522
32216,0.357,-1.010,1.056
32217,-2.254,5.944,-0.320
32218,6.642,-2.222,0.514
32219,6.914,-5.922,0.235
32220,1.711,-0.315,-1.283
32221,1.951,-0.634,-0.831
32222,-2.768,3.384,-0.580
32223,-3.423,-0.882,-0.273
32224,2.058,0.476,-0.485
32225,2.400,-1.074,0.036
32226,-2.380,0.747,-0.030
32227,3.325,-1.400,1.319
32228,6.220,0.352,-1.378
32229,2.074,0.788,0.533
32230,-5.227,0.695,-0.533
32231,5.713,-0.483,-0.684
32232,1.835,0.832,0.671
32233,1.040,1.201,0.429
32234,5.563,0.145,-1.276
32235,2.669,2.209,1.314
32236,-4.738,1.651,0.000
32237,1.058,0.606,0.958
32238,6.145,-3.708,-0.303
32239,3.877,-2.362,0.034
32240,6.313,-6.069,-0.314
32241,4.613,-3.335,1.405
32242,-2.783,3.367,0.375
32243,-2.307,3.582,0.794
32244,5.741,-3.259,0.486
32245,-5.515,1.659,0.511
32246,6.597,-0.958,-0.859
32247,-4.473,2.514,0.758
32248,0.623,2.649,0.025
32249,-6.974,2.002,-0.317
32250,2.080,-1.842,1.320
32251,2.004,0.035,-0.586
32252,-2.392,0.668,-0.366
32253,4.106,-0.645,0.048
32254,3.841,-1.532,0.626
32255,5.230,-1.655,0.484
32256,4.180,-2.160,0.614
32257,5.340,-2.646,1.473
32258,0.664,2.933,1.146
32259,3.355,1.496,0.424
32260,4.505,-2.091,0.976
32261,-5.779,-0.554,0.311
32262,6.981,0.705,-1.435
32263,-1.442,0.442,0.329
32264,-4.244,1.134,0.238
32265,1.692,5.388,-0.569
32266,2.572,4.782,-0.232
32267,1.334,-1.059,1.022
32268,-5.826,-3.474,-1.772
32269,4.407,2.880,-0.038
32270,-2.325,4.086,0.256
32271,7.529,-4.135,1.378
32272,-5.447,-3.007,-1.612
32273,-5.967,-4.763,-0.516
32274,-0.822,0.970,-0.200
32275,-3.589,3.386,0.658
32276,4.183,-2.171,-0.046
32277,-2.359,-1.295,-0.699
32278,0.002,1.571,0.746
32279,-2.640,0.455,-0.415
32280,4.027,-1.918,0.537
32281,2.809,-1.774,0.046
32282,1.591,-0.571,0.941
32283,0.037,-1.402,-0.160
32284,2.149,-1.134,0.610
32285,-1.936,0.608,-0.437
32286,-0.908,0.342,0.222
32287,-2.263,1.157,0.132
32288,2.847,-0.880,-0.093
