fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1815,0.8352,0.254,,,,posterior_mean,0.0,0
0.1846,0.8353,0.2545,,,,posterior_weighted,0.0,0
0.1806,0.8364,0.2528,0.1869,0.8275,0.2631,posterior_mean,0.3,0
0.1849,0.8355,0.2537,0.1901,0.8287,0.2623,posterior_weighted,0.3,0
0.1796,0.8381,0.2517,0.1894,0.8252,0.2657,posterior_mean,0.3,1
0.1839,0.8376,0.2527,0.1927,0.8252,0.2651,posterior_weighted,0.3,1
0.18,0.8383,0.2526,0.1876,0.8251,0.2638,posterior_mean,0.3,2
0.1843,0.8371,0.2535,0.1907,0.8257,0.2629,posterior_weighted,0.3,2
0.1797,0.8397,0.2519,0.1881,0.8242,0.2656,posterior_mean,0.3,3
0.1839,0.839,0.2528,0.1912,0.8238,0.2648,posterior_weighted,0.3,3
0.1801,0.8379,0.2526,0.1883,0.8246,0.2644,posterior_mean,0.3,4
0.1844,0.8369,0.2535,0.1915,0.8254,0.2635,posterior_weighted,0.3,4
0.1762,0.8442,0.2482,0.1917,0.8177,0.27,posterior_mean,0.6,0
0.1837,0.8428,0.2503,0.1963,0.82,0.2679,posterior_weighted,0.6,0
0.175,0.8447,0.2466,0.1926,0.8188,0.272,posterior_mean,0.6,1
0.1821,0.8432,0.2485,0.1973,0.8183,0.2703,posterior_weighted,0.6,1
0.1738,0.8478,0.246,0.1926,0.817,0.2725,posterior_mean,0.6,2
0.1811,0.8473,0.248,0.1966,0.8183,0.2699,posterior_weighted,0.6,2
0.175,0.8468,0.2468,0.1918,0.8206,0.2719,posterior_mean,0.6,3
0.1823,0.8457,0.2489,0.1963,0.82,0.2698,posterior_weighted,0.6,3
0.1758,0.8431,0.2475,0.193,0.8187,0.2723,posterior_mean,0.6,4
0.183,0.8406,0.2496,0.1973,0.8192,0.2698,posterior_weighted,0.6,4
0.1473,0.8815,0.2159,0.2202,0.7803,0.316,posterior_mean,0.9,0
0.1685,0.8729,0.2269,0.224,0.7886,0.3005,posterior_weighted,0.9,0
0.1458,0.8821,0.2132,0.2229,0.7744,0.3212,posterior_mean,0.9,1
0.169,0.8749,0.2253,0.2259,0.7854,0.3027,posterior_weighted,0.9,1
0.1471,0.8827,0.2151,0.2198,0.7794,0.3181,posterior_mean,0.9,2
0.1713,0.8737,0.2273,0.2242,0.7884,0.3008,posterior_weighted,0.9,2
0.1437,0.8885,0.2109,0.2154,0.789,0.3119,posterior_mean,0.9,3
0.1664,0.8815,0.2222,0.2213,0.7928,0.298,posterior_weighted,0.9,3
0.1484,0.8843,0.2144,0.2268,0.7705,0.3244,posterior_mean,0.9,4
0.171,0.8762,0.2269,0.2295,0.7817,0.3055,posterior_weighted,0.9,4
