scale_weights,sparsity,seed,distortion_mean,distortion_std
False,0.0,0,0.0938,0.0919
False,0.3,0,0.1185,0.1095
False,0.3,1,0.1183,0.11
False,0.3,2,0.1189,0.1101
False,0.3,3,0.1181,0.1099
False,0.3,4,0.1185,0.1099
False,0.6,0,0.1667,0.1392
False,0.6,1,0.166,0.1403
False,0.6,2,0.1667,0.1403
False,0.6,3,0.1675,0.1414
False,0.6,4,0.1685,0.1413
False,0.9,0,0.3553,0.2263
False,0.9,1,0.3552,0.2359
False,0.9,2,0.3578,0.234
False,0.9,3,0.3532,0.2261
False,0.9,4,0.3621,0.2327
True,0.0,0,0.0938,0.0919
True,0.3,0,0.0951,0.0926
True,0.3,1,0.0948,0.0928
True,0.3,2,0.0956,0.0932
True,0.3,3,0.0948,0.0931
True,0.3,4,0.0948,0.0929
True,0.6,0,0.0979,0.0944
True,0.6,1,0.0978,0.095
True,0.6,2,0.0984,0.0956
True,0.6,3,0.0989,0.0969
True,0.6,4,0.0991,0.096
True,0.9,0,0.1327,0.1295
True,0.9,1,0.1319,0.1345
True,0.9,2,0.1349,0.1345
True,0.9,3,0.1303,0.1269
True,0.9,4,0.14,0.1428
