fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0742,0.9558,0.1808,,,,emirt,0.0,0
0.0714,0.9571,0.1778,0.0773,0.95,0.1927,emirt,0.3,0
0.0733,0.9559,0.1796,0.0787,0.9497,0.191,emirt,0.3,1
0.0718,0.9577,0.1774,0.0801,0.948,0.1958,emirt,0.3,2
0.0734,0.9569,0.1788,0.0773,0.9506,0.1916,emirt,0.3,3
0.0762,0.9543,0.1827,0.0754,0.9556,0.1839,emirt,0.3,4
0.0728,0.958,0.1762,0.0827,0.9475,0.1973,emirt,0.6,0
0.0716,0.9589,0.1752,0.0817,0.9464,0.1976,emirt,0.6,1
0.0719,0.9587,0.1742,0.0828,0.9462,0.1997,emirt,0.6,2
0.0743,0.9578,0.1772,0.0828,0.9459,0.1976,emirt,0.6,3
0.0753,0.9565,0.1802,0.0808,0.9493,0.1936,emirt,0.6,4
0.072,0.9654,0.1596,0.1111,0.9265,0.2353,emirt,0.9,0
0.0796,0.9608,0.1708,0.1172,0.9213,0.2422,emirt,0.9,1
0.0705,0.9662,0.1598,0.1133,0.9202,0.243,emirt,0.9,2
0.0766,0.9628,0.1663,0.113,0.9227,0.2375,emirt,0.9,3
0.0719,0.9663,0.1596,0.1098,0.9258,0.2356,emirt,0.9,4
