fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0518,0.9639,0.1611,,,,ideal,0.0,0
0.0486,0.9652,0.1564,0.0601,0.9506,0.1913,ideal,0.3,0
0.0497,0.9651,0.1573,0.0601,0.9518,0.1871,ideal,0.3,1
0.0488,0.965,0.1569,0.0616,0.9512,0.1914,ideal,0.3,2
0.0482,0.9667,0.1542,0.0602,0.9522,0.1913,ideal,0.3,3
0.0508,0.9637,0.1596,0.0557,0.9569,0.1786,ideal,0.3,4
0.0424,0.9689,0.1464,0.0607,0.9477,0.1992,ideal,0.6,0
0.0424,0.9684,0.1455,0.0616,0.9477,0.2007,ideal,0.6,1
0.0413,0.9702,0.1438,0.061,0.9479,0.1999,ideal,0.6,2
0.0422,0.9699,0.1448,0.0616,0.9474,0.2012,ideal,0.6,3
0.0466,0.9661,0.1534,0.0608,0.95,0.1965,ideal,0.6,4
0.0371,0.9523,0.1324,0.0979,0.8913,0.2683,ideal,0.9,0
0.0388,0.9572,0.1396,0.0971,0.8977,0.2673,ideal,0.9,1
0.0393,0.9544,0.139,0.0979,0.8911,0.2671,ideal,0.9,2
0.035,0.9564,0.1308,0.0962,0.8961,0.2686,ideal,0.9,3
0.0354,0.9524,0.1286,0.0938,0.8977,0.2622,ideal,0.9,4
