fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0475,0.9672,0.1545,,,,ixplore-binarised,0.0,0
0.0433,0.9682,0.1479,0.0618,0.9483,0.2037,ixplore-binarised,0.3,0
0.044,0.9693,0.1489,0.0635,0.9468,0.2045,ixplore-binarised,0.3,1
0.0429,0.9693,0.1473,0.0638,0.9474,0.2041,ixplore-binarised,0.3,2
0.0424,0.9705,0.1461,0.0628,0.9465,0.2049,ixplore-binarised,0.3,3
0.0451,0.9688,0.1507,0.0589,0.9522,0.1943,ixplore-binarised,0.3,4
0.0349,0.9742,0.1331,0.0656,0.9424,0.2204,ixplore-binarised,0.6,0
0.0341,0.9745,0.1317,0.0693,0.9389,0.2291,ixplore-binarised,0.6,1
0.0334,0.9754,0.1302,0.0665,0.942,0.2237,ixplore-binarised,0.6,2
0.0335,0.9755,0.1306,0.0664,0.9417,0.2232,ixplore-binarised,0.6,3
0.0381,0.9724,0.1392,0.0655,0.9434,0.2191,ixplore-binarised,0.6,4
0.0025,0.9976,0.0361,0.112,0.8887,0.3238,ixplore-binarised,0.9,0
0.0042,0.9964,0.0463,0.1103,0.891,0.3198,ixplore-binarised,0.9,1
0.004,0.9964,0.0449,0.114,0.8875,0.326,ixplore-binarised,0.9,2
0.0035,0.9969,0.0424,0.1116,0.8893,0.3234,ixplore-binarised,0.9,3
0.0051,0.9963,0.0506,0.1051,0.8966,0.3105,ixplore-binarised,0.9,4
