fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0875,0.9571,0.1818,,,,kernel-pca,0.0,0
0.0937,0.9587,0.1806,0.1037,0.9483,0.202,kernel-pca,0.3,0
0.0941,0.9576,0.1821,0.1027,0.948,0.2009,kernel-pca,0.3,1
0.0933,0.9583,0.1807,0.1065,0.9445,0.2082,kernel-pca,0.3,2
0.0937,0.9579,0.1807,0.1029,0.9465,0.2031,kernel-pca,0.3,3
0.0972,0.9554,0.1857,0.1009,0.9539,0.1937,kernel-pca,0.3,4
0.1116,0.9587,0.185,0.1293,0.942,0.2182,kernel-pca,0.6,0
0.1115,0.9594,0.1829,0.1282,0.9432,0.2137,kernel-pca,0.6,1
0.1099,0.9589,0.1827,0.1284,0.9418,0.218,kernel-pca,0.6,2
0.1133,0.9569,0.1874,0.1299,0.9408,0.22,kernel-pca,0.6,3
0.1146,0.9567,0.1889,0.1269,0.9451,0.212,kernel-pca,0.6,4
0.1831,0.9381,0.25,0.2683,0.8421,0.3719,kernel-pca,0.9,0
0.1853,0.9376,0.2512,0.2676,0.8414,0.3683,kernel-pca,0.9,1
0.187,0.9353,0.2522,0.2745,0.8313,0.3806,kernel-pca,0.9,2
0.1883,0.938,0.2561,0.2734,0.8431,0.3802,kernel-pca,0.9,3
0.1963,0.926,0.2685,0.2896,0.8204,0.3968,kernel-pca,0.9,4
