fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0863,0.9365,0.2115,,,,lsirm,0.0,0
0.0837,0.9416,0.2033,0.0916,0.9339,0.2205,lsirm,0.3,0
0.0884,0.9381,0.2079,0.0924,0.9333,0.2179,lsirm,0.3,1
0.0841,0.9393,0.2069,0.0924,0.9295,0.2255,lsirm,0.3,2
0.0837,0.9446,0.1986,0.0879,0.9365,0.2118,lsirm,0.3,3
0.0875,0.939,0.2075,0.0897,0.9352,0.2158,lsirm,0.3,4
0.0847,0.9496,0.191,0.0965,0.9374,0.2151,lsirm,0.6,0
0.0861,0.9506,0.1908,0.0957,0.9395,0.2122,lsirm,0.6,1
0.0841,0.949,0.1908,0.0957,0.9375,0.2171,lsirm,0.6,2
0.0871,0.947,0.1963,0.0968,0.9351,0.2182,lsirm,0.6,3
0.0878,0.9473,0.1944,0.0947,0.9404,0.2101,lsirm,0.6,4
0.1396,0.9626,0.2097,0.178,0.9137,0.2746,lsirm,0.9,0
0.1444,0.9588,0.2163,0.1834,0.9102,0.2792,lsirm,0.9,1
0.1369,0.9622,0.208,0.1799,0.908,0.2804,lsirm,0.9,2
0.141,0.9612,0.2129,0.1785,0.9138,0.2753,lsirm,0.9,3
0.1344,0.96,0.2074,0.1769,0.9065,0.2793,lsirm,0.9,4
