fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0818,0.9565,0.1824,,,,pca-linear,0.0,0
0.1861,0.9528,0.2308,0.2078,0.942,0.2526,pca-linear,0.3,0
0.1864,0.9529,0.2312,0.2075,0.9448,0.2507,pca-linear,0.3,1
0.1842,0.9548,0.2287,0.2066,0.9417,0.2526,pca-linear,0.3,2
0.186,0.9537,0.2301,0.2054,0.9451,0.2498,pca-linear,0.3,3
0.1883,0.9515,0.2331,0.2052,0.9498,0.2473,pca-linear,0.3,4
0.2913,0.9272,0.3206,0.3221,0.8912,0.3527,pca-linear,0.6,0
0.2926,0.9284,0.3204,0.3203,0.8987,0.349,pca-linear,0.6,1
0.2921,0.932,0.3193,0.3189,0.9043,0.3477,pca-linear,0.6,2
0.2919,0.9307,0.3201,0.3194,0.9,0.3492,pca-linear,0.6,3
0.2947,0.9303,0.3219,0.3194,0.9067,0.3473,pca-linear,0.6,4
0.3622,0.7824,0.4036,0.4317,0.6466,0.4818,pca-linear,0.9,0
0.3648,0.7741,0.4065,0.4345,0.6336,0.4836,pca-linear,0.9,1
0.3577,0.7896,0.4017,0.434,0.6404,0.4884,pca-linear,0.9,2
0.3641,0.7851,0.406,0.4339,0.6507,0.4835,pca-linear,0.9,3
0.3605,0.7843,0.4033,0.4317,0.6408,0.4839,pca-linear,0.9,4
