fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0592,0.9604,0.1693,,,,pca-logistic,0.0,0
0.0577,0.9617,0.166,0.0664,0.9508,0.1903,pca-logistic,0.3,0
0.0583,0.9611,0.1668,0.0665,0.9514,0.1892,pca-logistic,0.3,1
0.0565,0.9632,0.1641,0.0683,0.9499,0.1938,pca-logistic,0.3,2
0.0571,0.9621,0.1645,0.0656,0.9526,0.1919,pca-logistic,0.3,3
0.0599,0.9599,0.1693,0.0627,0.9569,0.1813,pca-logistic,0.3,4
0.0536,0.964,0.1571,0.0686,0.9481,0.198,pca-logistic,0.6,0
0.054,0.9647,0.1577,0.0691,0.948,0.1988,pca-logistic,0.6,1
0.0526,0.966,0.1556,0.0688,0.9474,0.1994,pca-logistic,0.6,2
0.0543,0.9652,0.1578,0.0686,0.9481,0.1972,pca-logistic,0.6,3
0.0574,0.9625,0.1631,0.0673,0.9513,0.1935,pca-logistic,0.6,4
0.0384,0.9847,0.1109,0.1107,0.9054,0.2811,pca-logistic,0.9,0
0.0417,0.9826,0.1174,0.1085,0.9091,0.2725,pca-logistic,0.9,1
0.041,0.9827,0.117,0.1147,0.9019,0.2879,pca-logistic,0.9,2
0.0428,0.9834,0.1185,0.1094,0.9064,0.2782,pca-logistic,0.9,3
0.0408,0.9864,0.1122,0.1119,0.9065,0.2778,pca-logistic,0.9,4
