fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0631,0.9613,0.1686,,,,tsne-logistic,0.0,0
0.0646,0.962,0.1673,0.074,0.9501,0.1922,tsne-logistic,0.3,0
0.0657,0.9596,0.1703,0.0737,0.9496,0.1901,tsne-logistic,0.3,1
0.0638,0.9621,0.1668,0.0746,0.9484,0.1932,tsne-logistic,0.3,2
0.0637,0.9615,0.1665,0.0722,0.9507,0.192,tsne-logistic,0.3,3
0.0672,0.9597,0.1717,0.0695,0.9544,0.1815,tsne-logistic,0.3,4
0.1162,0.9594,0.1892,0.1333,0.9434,0.2161,tsne-logistic,0.6,0
0.1144,0.9605,0.1875,0.1305,0.9424,0.2141,tsne-logistic,0.6,1
0.1146,0.9603,0.1866,0.1309,0.9441,0.2148,tsne-logistic,0.6,2
0.1157,0.9597,0.1886,0.1311,0.9432,0.215,tsne-logistic,0.6,3
0.1197,0.9575,0.1936,0.1314,0.9449,0.2121,tsne-logistic,0.6,4
0.2486,0.9316,0.2926,0.3393,0.7889,0.4076,tsne-logistic,0.9,0
0.2571,0.9164,0.3014,0.3491,0.772,0.4163,tsne-logistic,0.9,1
0.2523,0.92,0.2983,0.351,0.7673,0.4238,tsne-logistic,0.9,2
0.2515,0.9276,0.2958,0.3415,0.7851,0.4097,tsne-logistic,0.9,3
0.2546,0.9209,0.3003,0.3494,0.7692,0.4192,tsne-logistic,0.9,4
